modalidad,total_instrumentos,id_test,sigla_test,nombre_test,eje_test,constructo,tiempo_administracion,acceso
Autoinforme,196,rvplutchik_186,RV-Plutchik,Escala de Riesgo de Violencia de Plutchik,Eje I,Riesgo de violencia autodirigida,3 a 5 minutos (12 ítems),academico
Autoinforme,196,eiplutchik_187,EI-Plutchik,Escala de Impulsividad de Plutchik,Eje I,Impulsividad,3 a 5 minutos (15 ítems autoadministrados),academico
Autoinforme,196,spin_188,SPIN,Social Phobia Inventory,Eje I,Fobia social,5 a 8 minutos (17 ítems referidos a la última semana),academico
Autoinforme,196,bsps_189,BSPS,Brief Social Phobia Scale (Davidson),Eje I,Fobia social (heteroaplicada),8 a 12 minutos (heteroadministrado mediante entrevista clínica semiestructurada),academico
Autoinforme,196,bsa_190,BSA,Brief Scale for Anxiety (Tyrer),Eje I,Ansiedad general (heteroaplicada),10 a 15 minutos (heteroadministrada mediante entrevista clínica semiestructurada),academico
Autoinforme,196,tq_191,TQ,Trauma Questionnaire,Eje I,Exposición a eventos traumáticos,8 a 12 minutos (18 acontecimientos traumáticos potenciales),academico
Autoinforme,196,dai_193,DAI,¡OJO! Archivo etiquetado DAI contiene la PANSS completa,Eje I,Psicopatología general (positiva/negativa),2 a 4 minutos (10 reactivos dicotómicos),academico
Autoinforme,196,bdhi_194,BDHI,Buss-Durkee Hostility Inventory,Eje I,Hostilidad/agresividad,10 a 15 minutos (autoadministrado),academico
Autoinforme,196,malt_195,MALT,Münchner Alkoholismustest,Eje I,Diagnóstico de alcoholismo,"10 a 15 minutos en total (5 min parte médica, 8 min autoinforme)",academico
Autoinforme,196,ocds_200,OCDS,Obsessive Compulsive Drinking Scale,Eje I,Craving/compulsión por alcohol,5 a 8 minutos (14 reactivos tipo Likert de 5 opciones),academico
Autoinforme,196,edi2_201,EDI-2,Inventario de Trastornos de la Conducta Alimentaria-2,Eje I,Conducta alimentaria,15 a 25 minutos (91 ítems EDI-2 o 64 ítems nucleares EDI),academico
Autoinforme,196,bite_202,BITE,Bulimic Investigatory Test Edinburgh,Eje I,Síntomas bulímicos,8 a 12 minutos.,academico
Autoinforme,196,csfq_204,CSFQ,Changes in Sexual Functioning Questionnaire,Eje VI,Funcionamiento sexual,5 a 7 minutos de cumplimentación autónoma con instrucciones claras.,academico
Autoinforme,196,iief_205,IIEF,Índice Internacional de Función Eréctil,Eje VI,Función eréctil,8 a 10 minutos de cumplimentación autónoma presencial o telemática.,academico
Autoinforme,196,mghsfq_206,MGH-SFQ,Massachusetts General Hospital Sexual Functioning Q.,Eje VI,Funcionamiento sexual,1 a 2 minutos de respuesta ágil en la sala de espera o entrevista médica.,academico
Autoinforme,196,bwsq_208,BWSQ,Benzodiazepine Withdrawal Symptom Questionnaire,Eje VI,Abstinencia de benzodiacepinas,5 a 8 minutos de cumplimentación autónoma o guiada en consulta médica/psicológica.,academico
Autoinforme,196,eeaggaf_211,EEAG-GAF,Escala de Evaluación de la Actividad Global,Eje IV,Funcionamiento global (eje V del DSM-IV),2 a 3 minutos de juicio profesional tras la entrevista clínica diagnóstica.,academico
Autoinforme,196,sass_213,SASS,Social Adaptation Self-evaluation Scale,Eje IV,Adaptación social,8 a 12 minutos de cumplimentación autónoma.,academico
Autoinforme,196,cscv_215,CSCV,Cuestionario Sevilla de Calidad de Vida,Eje IV,Calidad de vida,15 a 25 minutos en administración supervisada o autoadministrada asistida.,academico
Autoinforme,196,qlds_216,QLDS,Quality of Life Depression Scale,Eje IV,Calidad de vida en depresión,5 a 8 minutos de cumplimentación autónoma.,academico
Autoinforme,196,npi-n_218,NPI-N,Narcissistic Personality Inventory,Eje III,Rasgos de personalidad narcisista,10 a 15 minutos en autoadministración.,academico
Autoinforme,196,aim-a_219,AIM-A,Affect Intensity Measure,Eje II,Intensidad de la reactividad afectiva,3 a 5 minutos en autoadministración; 6 minutos asistido.,academico
Autoinforme,196,eat-40_new,EAT-40,Test de Actitudes hacia la Alimentación (40 ítems),Eje I,Trastornos de la conducta alimentaria,10 a 15 minutos.,abierto
Autoinforme,196,eat-26_new,EAT-26,Test de Actitudes hacia la Alimentación - Versión Abreviada (26 ítems),Eje I,Trastornos de la conducta alimentaria,5 a 8 minutos.,abierto
Autoinforme,196,eat-40-sergas_new,EAT-40-SERGAS,Test de Actitudes hacia la Alimentación (Formato SERGAS),Eje I,Trastornos de la conducta alimentaria,7 a 10 minutos (40 reactivos tipo Likert de 6 opciones),abierto
Autoinforme,196,cage_new,CAGE,Cuestionario CAGE para Detección de Alcoholismo,Eje I,Consumo de alcohol y adicciones,1 a 2 minutos (administrado verbalmente en la entrevista o autoadministrado),abierto
Autoinforme,196,sds_new,SDS,Escala de Autoevaluación de la Depresión de Zung y Conde (SDS),Eje I,Depresión y estado de ánimo,5 a 8 minutos (20 ítems),abierto
Autoinforme,196,rs-plutchik_new,RS-Plutchik,Escala de Riesgo Suicida de Plutchik,Eje I,Riesgo y conducta suicida,3 a 5 minutos (15 ítems),abierto
Autoinforme,196,bsds_new,BSDS,Escala Diagnóstica del Espectro Bipolar de Ghaemi,Eje I,Trastorno bipolar y ciclotimia,6 a 10 minutos.,abierto
Autoinforme,196,asq-15_new,ASQ-15,Cuestionario de Screening de Ansiedad de Wittchen (ASQ-15),Eje I,Cribado multitrastorno de ansiedad,3 a 5 minutos (autoadministrado o administrado en el triaje de enfermería),abierto
Autoinforme,196,bhs_new,BHS,Escala de Desesperanza de Beck (BHS),Eje I,Desesperanza y riesgo suicida,3 a 5 minutos (autoadministrado),comercial
Autoinforme,196,empc_new,EMPC,Escala Motivacional de Pensamiento Crítico (EMPC),Eje II,Estilos de pensamiento y metacognición,3 a 5 minutos en autoadministración.,abierto
Autoinforme,196,tsi_new,TSI,Inventario de Estilos de Pensamiento de Sternberg (TSI),Eje II,Estilos cognitivos y autogobierno mental,15 a 20 minutos en autoadministración.,abierto
Autoinforme,196,sseit_new,SSEIT,Escala de Inteligencia Emocional de Schutte (SSEIT),Eje II,Inteligencia emocional autopercibida,6 a 10 minutos en autoadministración.,abierto
Autoinforme,196,iss_new,ISS,Inventario de Situaciones Sociales (ISS),Eje II,Afrontamiento interpersonal y asertividad,6 a 10 minutos en autoadministración.,abierto
Autoinforme,196,hsq-24_new,HSQ-24,Cuestionario de Estilos de Humor (HSQ-24),Eje II,Regulación afectiva y mecanismos de humor,4 a 6 minutos en autoadministración.,abierto
Autoinforme,196,er-25_new,ER-25,Escala de Resiliencia de Wagnild y Young (25 ítems),Eje II,Resiliencia y superación de adversidades,5 a 8 minutos en autoadministración.,comercial
Autoinforme,196,crea-24_new,CREA-24,Escala de Autopercepción de Creatividad (CREA-24),Eje III,Autoconcepto y autoeficacia creativa,5 a 8 minutos en autoadministración.,abierto
Autoinforme,196,sss-v_new,SSS-V,Escala de Búsqueda de Sensaciones de Zuckerman (Forma V),Eje III,Rasgo disposicional de personalidad,10 a 15 minutos en autoadministración.,abierto
Autoinforme,196,swbs_new,SWBS,Escala de Bienestar Social de Keyes,Eje IV,Bienestar social y ajuste comunitario,8 a 10 minutos de administración autónoma.,abierto
Autoinforme,196,q-les-q_new,Q-LES-Q,Cuestionario de Calidad de Vida: Satisfacción y Placer de Endicott,Eje IV,Calidad de vida y satisfacción vital,3 a 5 minutos en administración breve y sencilla.,abierto
Autoinforme,196,eq-5d_new,EQ-5D,Cuestionario de Salud EuroQoL-5D,Eje IV,Calidad de vida relacionada con la salud,2 a 4 minutos de respuesta sencilla y rápida.,comercial
Autoinforme,196,gsqs_new,GSQS,Escala Groningen de la Calidad del Sueño (GSQS),Eje VI,Calidad de descanso e insomnio agudo,2 a 3 minutos (administración matutina inmediata),abierto
Autoinforme,196,othmer-desouza_new,Othmer-DeSouza,Test de Detección de Somatización de Othmer y DeSouza,Eje VI,Síntomas somatomorfos y somatización,2 a 3 minutos (heteroadministrado o autoadministrado en sala de espera),abierto
Autoinforme,196,laxitud-hdm_new,Laxitud-HdM,Criterios de Laxitud Articular del Hospital del Mar (Bulbena),Eje VI,Marcador somático de hiperlaxitud y pánico,5 a 8 minutos (exploración física articular estandarizada en camilla/consulta),abierto
Heteroaplicado / Entrevista clínica,48,caps-5_10,CAPS-5,Escala Administrada por Clínico para el TEPT,Eje I,Trauma y estrés postraumático,45 a 60 minutos (entrevista clínica estructurada integral conducida por profesional cualificado),abierto
Heteroaplicado / Entrevista clínica,48,hdrs_17,HDRS / HAM-D,Escala de Calificación de la Depresión de Hamilton,Eje I,Depresión y anhedonia,20 a 30 minutos (administrada por clínico entrenado),abierto
Heteroaplicado / Entrevista clínica,48,y-bocs_18,Y-BOCS,Escala de Obsesiones y Compulsiones de Yale-Brown,Eje I,Obsesiones y compulsiones,20 a 30 minutos (10 ítems clínicos nucleares precedidos por el inventario de síntomas),abierto
Heteroaplicado / Entrevista clínica,48,pcl-r_32,PCL-R,Escala de Calificación de Psicopatía Revisada,Eje III,Conducta antisocial,90 a 120 minutos de entrevista clínica + revisión exhaustiva de antecedentes colaterales.,comercial
Heteroaplicado / Entrevista clínica,48,scid-5-pd_34,SCID-5-PD,SCID-5-PD (Trastorno de la Personalidad Antisocial),Eje I,Conducta antisocial,45 a 90 minutos (entrevista completa) o 15 a 30 min (tras cribado previo SCID-5-SPQ),comercial
Heteroaplicado / Entrevista clínica,48,assist_38,ASSIST,"Prueba de Detección de Consumo de Alcohol, Tabaco y Sustancias",Eje I,Uso problemático de sustancias,5 a 10 minutos (más breve si el consumo es exclusivo de una o dos sustancias).,abierto
Heteroaplicado / Entrevista clínica,48,audit_39,AUDIT,Prueba de Identificación de Trastornos Relacionados con el Alcohol,Eje I,Uso problemático de sustancias,3 a 5 minutos en formato autoinforme o cribado breve asistido.,abierto
Heteroaplicado / Entrevista clínica,48,dast-10_40,DAST-10,Prueba de Detección de Abuso de Drogas,Eje I,Uso problemático de sustancias,3 a 5 minutos (10 preguntas dicotómicas),abierto
Heteroaplicado / Entrevista clínica,48,panss_45,PANSS,Escala de los Síndromes Positivo y Negativo,Eje I,Desorganización cognitiva y conductual,40 a 50 minutos (30 a 40 min entrevista semiestructurada SCI-PANSS + 10 min calificación),comercial
Heteroaplicado / Entrevista clínica,48,c-ssrs_46,C-SSRS,Escala Columbia para Evaluar el Riesgo de Suicidio,Eje I,Ideación y Conducta suicida,2 a 5 minutos en versión cribado (_Screener_); 10 a 15 minutos en versión completa.,abierto
Heteroaplicado / Entrevista clínica,48,mmse_119,MMSE,Mini-Examen del Estado Cognitivo,Eje V,Cribado Cognitivo Global (Estado Mental),8 a 10 minutos de rápida administración clínica.,comercial
Heteroaplicado / Entrevista clínica,48,rmet_132,RMET,Test de Leer la Mente en los Ojos,Eje V,Cognición Social e Interocepción,10 a 15 minutos; incluye un glosario con definiciones breves de cada estado mental.,abierto
Heteroaplicado / Entrevista clínica,48,faux_pas_test_134,Faux Pas Test,Test de Meteduras de Pata,Eje V,Cognición Social e Interocepción,15 a 20 minutos de lectura compartida y preguntas de comprensión estructuradas.,abierto
Heteroaplicado / Entrevista clínica,48,prsexdq_new1,PRSexDQ-SALSEX,Cuestionario de Disfunción Sexual Secundaria al Tratamiento con Psicofármacos,Eje VI,Salud sexual (disfunción inducida por fármacos),3 a 5 minutos de administración dinámica e integrada en la entrevista médica.,abierto
Heteroaplicado / Entrevista clínica,48,mec_171,MEC,Mini-Examen Cognoscitivo de Lobo,Eje V,Cribado cognitivo global,8 a 12 minutos de rápida aplicación clínica en consulta o cabecera de cama.,academico
Heteroaplicado / Entrevista clínica,48,bprs_173,BPRS,Brief Psychiatric Rating Scale,Eje I,Psicopatología general (heteroaplicada),15 a 25 minutos (heteroadministrada mediante entrevista clínica y observación directa),academico
Heteroaplicado / Entrevista clínica,48,sips_174,SIPS,Entrevista Estructurada para Síndromes Prodrómicos,Eje I,Riesgo de psicosis,45 a 75 minutos (entrevista diagnóstica exhaustiva),academico
Heteroaplicado / Entrevista clínica,48,sops_175,SOPS,Scale of Prodromal Syndromes,Eje I,Síntomas prodrómicos de psicosis,30 a 45 minutos (19 ítems clínicos),academico
Heteroaplicado / Entrevista clínica,48,sumd_176,SUMD,Scale to Assess Unawareness of Mental Disorder,Eje I,Insight/conciencia de enfermedad,15 a 25 minutos (versión abreviada de 6 a 9 ítems) o 45 min (versión completa de 20 síntomas),academico
Heteroaplicado / Entrevista clínica,48,oas_177,OAS,Overt Aggression Scale,Eje I,Agresividad manifiesta observada,2 a 3 minutos por cada episodio agresivo registrado de forma inmediata,academico
Heteroaplicado / Entrevista clínica,48,madrs_178,MADRS,Montgomery-Asberg Depression Rating Scale,Eje I,Severidad depresiva (heteroaplicada),12 a 20 minutos (administrada por clínico entrenado),academico
Heteroaplicado / Entrevista clínica,48,ymrs_182,YMRS,Young Mania Rating Scale,Eje I,Severidad de manía,15 a 20 minutos (11 ítems con ponderación clínica específica),academico
Heteroaplicado / Entrevista clínica,48,evmac_183,EVMAC,Escala para la Valoración de la Manía por Clínicos,Eje I,Severidad de manía (heteroaplicada),15 a 25 minutos (15 reactivos valorados por un psiquiatra o psicólogo),academico
Heteroaplicado / Entrevista clínica,48,mas_184,MAS,Escala de Manía de Bech-Rafaelsen,Eje I,Severidad de manía,12 a 18 minutos (cumplimentada por clínico entrenado),academico
Heteroaplicado / Entrevista clínica,48,dgrp_192,DGRP,Duke Global Rating Scale for PTSD,Eje I,Cambio global en TEPT,3 a 5 minutos (cumplimentada por el profesional de salud mental),academico
Heteroaplicado / Entrevista clínica,48,isca_196,ISCA,Interrogatorio Sistematizado de Consumos Alcohólicos,Eje I,Consumo de alcohol,2 a 3 minutos (integrado en la anamnesis clínica habitual),academico
Heteroaplicado / Entrevista clínica,48,europasi_197,EuropASI,Índice Europeo de Gravedad de la Adicción,Eje I,Gravedad multidimensional de adicción,45 a 60 minutos en la evaluación basal (20-30 min en seguimientos evolutivos),academico
Heteroaplicado / Entrevista clínica,48,sadq_198,SADQ,Severity of Alcohol Dependence Questionnaire,Eje I,Severidad de dependencia alcohólica,10 a 15 minutos (33 ítems referidos al periodo de mayor consumo en los últimos 6 meses),academico
Heteroaplicado / Entrevista clínica,48,eida_199,EIDA,Escala de la Intensidad de la Dependencia al Alcohol,Eje I,Dependencia alcohólica,8 a 12 minutos (30 reactivos clínicos),academico
Heteroaplicado / Entrevista clínica,48,cos_203,COS,Cuestionario Oviedo de Calidad del Sueño,Eje VI,Calidad del sueño,5 a 8 minutos de cumplimentación y valoración de las últimas 4 semanas de sueño.,academico
Heteroaplicado / Entrevista clínica,48,asex_207,ASEX,Arizona Sexual Experience Scale,Eje VI,Funcionamiento sexual,2 a 3 minutos de rápida cumplimentación en consulta ambulatoria o de hospitalización.,academico
Heteroaplicado / Entrevista clínica,48,sas_209,SAS,Simpson-Angus Scale,Eje VI,Parkinsonismo/extrapiramidalismo inducido,8 a 10 minutos de exploración física reglada en camilla y bipedestación.,academico
Heteroaplicado / Entrevista clínica,48,uku_210,UKU,UKU Side Effect Rating Scale,Eje VI,Efectos secundarios de psicofármacos,15 a 20 minutos de revisión sistemática estructurada en consulta clínica.,academico
Heteroaplicado / Entrevista clínica,48,sdi_212,SDI,Sheehan Disability Inventory,Eje IV,Discapacidad funcional,2 a 4 minutos de rápida cumplimentación.,academico
Heteroaplicado / Entrevista clínica,48,qls_214,QLS,Quality of Life Scale (Heinrichs),Eje IV,Calidad de vida en esquizofrenia,30 a 45 minutos de entrevista clínica detallada con paciente y allegados.,academico
Heteroaplicado / Entrevista clínica,48,top-8_220,TOP-8,Escala de 8 ítems para los Resultados del Tratamiento del TEPT,Eje I,Respuesta al tratamiento en TEPT,3 a 5 minutos (8 ítems referidos a la última semana),academico
Heteroaplicado / Entrevista clínica,48,scps_new,SCPS,Escala Pronóstica para la Esquizofrenia de Strauss y Carpenter,Eje I,Psicosis y curso pronóstico,15 a 25 minutos (revisión de historia clínica y anamnesis de 12 dimensiones),abierto
Heteroaplicado / Entrevista clínica,48,sis_new,SIS,Escala de Intencionalidad Suicida de Beck (SIS),Eje I,Riesgo y conducta suicida,10 a 15 minutos (20 ítems puntuados de 0 a 2),abierto
Heteroaplicado / Entrevista clínica,48,hars_new,HARS,Escala de Hamilton para la Ansiedad (HAM-A),Eje I,Ansiedad psíquica y somática,15 a 20 minutos (administrada por clínico entrenado),abierto
Heteroaplicado / Entrevista clínica,48,pas_new,PAS,Escala de Pánico y Agorafobia de Bandelow (PAS),Eje I,Pánico y agorafobia,8 a 12 minutos (13 reactivos estructurados),abierto
Heteroaplicado / Entrevista clínica,48,lsas_new,LSAS,Escala de Ansiedad Social de Liebowitz (LSAS),Eje I,Fobia social y ansiedad de desempeño,15 a 25 minutos (24 reactivos pareados en miedo y evitación: 48 respuestas),abierto
Heteroaplicado / Entrevista clínica,48,carroll-tag_new,Carroll-TAG,Escala de Detección del TAG de Carroll y Davidson,Eje I,Ansiedad generalizada,3 a 5 minutos (12 reactivos de cribado sintomático),abierto
Heteroaplicado / Entrevista clínica,48,mini_new,MINI,Entrevista Neuropsiquiátrica Internacional (MINI 5.0.0),Eje I,Evaluación diagnóstica multiaxial DSM-IV/CIE-10,15 a 25 minutos (frente a las 2-3 horas de la SCID o CIDI),comercial
Heteroaplicado / Entrevista clínica,48,cgi_new,CGI,Escala de Impresión Clínica Global de Guy (CGI),Eje IV,Funcionamiento global y severidad transdiagnóstica,1 a 2 minutos inmediatamente tras la entrevista clínica habitual.,abierto
Heteroaplicado / Entrevista clínica,48,zbi_new,ZBI,Escala de Sobrecarga del Cuidador de Zarit (ZBI),Eje IV,Sobrecarga familiar y dinámica de cuidados,8 a 12 minutos de cumplimentación autónoma o guiada.,comercial
Heteroaplicado / Entrevista clínica,48,his_new,HIS,Escala de Isquemia de Hachinski (HIS),Eje V,Diagnóstico diferencial de demencias,5 a 10 minutos de cumplimentación tras historia clínica y examen neurológico.,abierto
Heteroaplicado / Entrevista clínica,48,bars_new,BARS,Escala de Acatisia de Barnes (BARS),Eje VI,Efectos extrapiramidales y farmacovigilancia,5 a 8 minutos de observación directa (sentado y de pie) y entrevista dirigida.,abierto
Heteroaplicado / Entrevista clínica,48,aims_new,AIMS,Escala de Movimientos Involuntarios Anormales de Guy (AIMS),Eje VI,Farmacovigilancia y discinesia tardía,10 a 12 minutos de exploración médica neurológica interactiva en consulta.,abierto
Observacional / Registro conductual,7,sogs_42,SOGS,Prueba de Detección de Juego Patológico de South Oaks,Eje I,Adicciones conductuales,6 a 10 minutos.,abierto
Observacional / Registro conductual,7,indice_de_barth_101,BARTHEL,Índice de Barthel,Eje IV,"Funcionamiento general, Discapacidad y Actividades de la vida diaria",5 a 10 minutos de administración por profesional sanitario o cuidador formado.,abierto
Observacional / Registro conductual,7,escala_de_lawton_102,Escala de Lawton,Escala de Lawton y Brody,Eje IV,"Funcionamiento general, Discapacidad y Actividades de la vida diaria",5 a 10 minutos de administración semiestructurada.,abierto
Observacional / Registro conductual,7,adrql_217,ADRQL,Alzheimer's Disease Related Quality of Life,Eje IV,Calidad de vida en demencia,15 a 20 minutos de administración por el cuidador primario o profesional.,academico
Observacional / Registro conductual,7,abs_new,ABS,Escala de Comportamiento Agitado de Corrigan (ABS),Eje I,Agitación psicomotriz e impulsividad aguda,5 a 15 minutos,abierto
Observacional / Registro conductual,7,diario-panico_new,Diario-Panico,Trastorno de Pánico: Diario del Paciente (Autorregistro TCC),Eje I,Crisis de angustia y pánico,2 a 3 minutos por cada crisis registrada inmediatamente tras el episodio,abierto
Observacional / Registro conductual,7,katz_new,KATZ,Índice de Katz de Actividades Básicas de la Vida Diaria (ABVD),Eje IV,Autonomía funcional y dependencia biológica,3 a 5 minutos de juicio profesional tras entrevista al paciente o cuidador.,abierto
Rendimiento neurocognitivo / Tarea de ejecución,19,leas_61,LEAS,Escala de Niveles de Conciencia Emocional,Eje II,Conciencia emocional,10 a 15 minutos (versión 10 escenarios); 20 a 25 minutos (versión 20 escenarios).,abierto
Rendimiento neurocognitivo / Tarea de ejecución,19,moca_120,MoCA,Evaluación Cognitiva de Montreal,Eje V,Cribado Cognitivo Global (Estado Mental),10 a 12 minutos de administración ágil y dinámica.,academico
Rendimiento neurocognitivo / Tarea de ejecución,19,d2-r_121,d2-R,Test de Atención d2-R,Eje V,"Atención (Sostenida, Selectiva, Dividida y Vigilancia)","Aproximadamente 8 minutos (20 segundos cronometrados por línea, 14 líneas consecutivas).",comercial
Rendimiento neurocognitivo / Tarea de ejecución,19,tmt_122,TMT,Test del Trazo (Trail Making Test),Eje V,"Atención (Sostenida, Selectiva, Dividida y Vigilancia)",5 a 10 minutos (incluye láminas breves de entrenamiento previo para cada parte).,abierto
Rendimiento neurocognitivo / Tarea de ejecución,19,tavec_123,TAVEC,Test de Aprendizaje Verbal de España-Complutense,Eje V,"Memoria (Trabajo, Episódica, Semántica, Visual, Aprendizaje)",30 a 35 min de aplicación activa (más 20 minutos de intervalo demorado libre).,comercial
Rendimiento neurocognitivo / Tarea de ejecución,19,figura_de_rey_124,Figura de Rey,Test de Copia de una Figura Compleja,Eje V,"Memoria (Trabajo, Episódica, Semántica, Visual, Aprendizaje)",Copia: 5-15 min; Recuerdo Inm./Dem.: 3-5 min c/u; Duración total de la sesión: 35-45 minutos.,abierto
Rendimiento neurocognitivo / Tarea de ejecución,19,wcst_125,WCST,Test de Clasificación de Tarjetas de Wisconsin,Eje V,Funciones Ejecutivas,20 a 30 minutos según la velocidad de resolución y perseveración del evaluado.,comercial
Rendimiento neurocognitivo / Tarea de ejecución,19,stroop_test_126,Stroop Test,Test de Colores y Palabras,Eje V,Funciones Ejecutivas,Aproximadamente 5 minutos (exactamente 45 segundos cronometrados por cada una de las 3 láminas).,abierto
Rendimiento neurocognitivo / Tarea de ejecución,19,igt_127,IGT,Iowa Gambling Task,Eje V,Funciones Ejecutivas,15 a 20 minutos en formato informatizado estandarizado (o manual con barajas).,abierto
Rendimiento neurocognitivo / Tarea de ejecución,19,brief-2_128,BRIEF-2,Evaluación Conductual de la Función Ejecutiva,Eje V,Funciones Ejecutivas,10 a 15 minutos por cuestionario; corrección informatizada o manual por plantilla.,comercial
Rendimiento neurocognitivo / Tarea de ejecución,19,ifs_129,IFS,INECO Frontal Screening,Eje V,Funciones Ejecutivas,10 a 12 minutos de administración ágil en el examen neurológico o neuropsicológico.,abierto
Rendimiento neurocognitivo / Tarea de ejecución,19,bnt_130,BNT,Test de Denominación de Boston,Eje V,"Comprensión, Expresión y Fluidez Verbal",10 a 20 minutos (forma completa) o 5 minutos (formas abreviadas).,comercial
Rendimiento neurocognitivo / Tarea de ejecución,19,tfv_131,TFV,Test de Fluidez Verbal (FAS y Animales),Eje V,"Comprensión, Expresión y Fluidez Verbal",5 a 6 minutos de aplicación interactiva ágil con cronómetro en mano.,abierto
Rendimiento neurocognitivo / Tarea de ejecución,19,dex-sp_new1,DEX-Sp,Cuestionario Disejecutivo (versión española),Eje V,Síntomas disejecutivos conductuales,5 a 8 minutos de cumplimentación autónoma o guiada por examinador.,abierto
Rendimiento neurocognitivo / Tarea de ejecución,19,efeco_new1,EFECO,Escala EFECO para Valorar Funciones Ejecutivas,Eje V,Funciones ejecutivas cotidianas (autoinforme),12 a 15 minutos en versión completa; 6 a 8 minutos en versión abreviada.,abierto
Rendimiento neurocognitivo / Tarea de ejecución,19,mfe_new1,MFE,Cuestionario de Fallos de Memoria de la Vida Cotidiana,Eje V,Fallos de memoria cotidiana (metamemoria),8 a 10 minutos de cumplimentación autónoma o guiada por examinador.,abierto
Rendimiento neurocognitivo / Tarea de ejecución,19,meqsa_new1,MEQ-SA,Cuestionario de Matutinidad-Vespertinidad de Horne y Östberg (versión española),Eje VI,Cronotipo/ritmo circadiano,8 a 12 minutos (autoadministrado),abierto
Rendimiento neurocognitivo / Tarea de ejecución,19,adascog_172,ADAS-Cog,Alzheimer's Disease Assessment Scale - Cognitiva,Eje V,Deterioro cognitivo en demencia,30 a 45 minutos de evaluación interactiva presencial.,academico
Rendimiento neurocognitivo / Tarea de ejecución,19,cfss_new,CFSS,Escala de Autoevaluación del Funcionamiento Cognitivo (CFSS),Eje V,Quejas cognitivas subjetivas cotidianas,3 a 5 minutos de rápida cumplimentación por el propio paciente o informante.,abierto
