constructo,eje,tema_principal,total_instrumentos,id_test,sigla_test,nombre_test,tipo_instrumento,acceso
Insight/conciencia de enfermedad,Eje I,Psicosis y experiencias delirantes,1,sumd_176,SUMD,Scale to Assess Unawareness of Mental Disorder,Heteroaplicado / Entrevista clínica,academico
Inteligencia emocional autopercibida,Eje II,Inteligencia emocional autopercibida,1,sseit_new,SSEIT,Escala de Inteligencia Emocional de Schutte (SSEIT),Autoinforme,abierto
"Inteligencia emocional percibida (atencion, claridad, reparacion)",Eje II,Regulación emocional,1,tmms24_163,TMMS-24,Trait Meta-Mood Scale-24,Autoinforme,academico
Intensidad de la reactividad afectiva,Eje II,Regulación emocional,1,aim-a_219,AIM-A,Affect Intensity Measure,Autoinforme,academico
Intolerancia a la incertidumbre,Eje II,Ansiedad y fobia,1,ius-12_53,IUS-12,Escala de Intolerancia a la Incertidumbre,Autoinforme,abierto
Malestar subjetivo y evitacion conductual en situaciones sociales,Eje I,Ansiedad y fobia,1,sads_153,SADS,Escala de Estres y Evitacion Social (Social Avoidance and Distress Scale),Autoinforme,academico
Marcador somático de hiperlaxitud y pánico,Eje VI,Marcador somático de hiperlaxitud y pánico,1,laxitud-hdm_new,Laxitud-HdM,Criterios de Laxitud Articular del Hospital del Mar (Bulbena),Autoinforme,abierto
"Memoria (Trabajo, Episódica, Semántica, Visual, Aprendizaje)",Eje V,Memoria y aprendizaje,2,tavec_123,TAVEC,Test de Aprendizaje Verbal de España-Complutense,Rendimiento neurocognitivo / Tarea de ejecución,comercial
"Memoria (Trabajo, Episódica, Semántica, Visual, Aprendizaje)",Eje V,Memoria y aprendizaje,2,figura_de_rey_124,Figura de Rey,Test de Copia de una Figura Compleja,Rendimiento neurocognitivo / Tarea de ejecución,abierto
Metacogniciones disfuncionales,Eje II,Esquemas y procesos cognitivos,1,mcq-30_57,MCQ-30,Cuestionario de Metacogniciones,Autoinforme,abierto
"Mindfulness y regulacion emocional (5 facetas: observar, describir, actuar con consciencia, no juzgar, no reactividad)",Eje II,Flexibilidad psicológica y mindfulness,1,ffmq-sf_168,FFMQ-SF,Cuestionario de Cinco Facetas de Mindfulness - Forma Corta,Autoinforme,abierto
Motivación y Orientación a metas,Eje III,Identidad y valores,2,imi_91,IMI,Inventario de Motivación Intrínseca,Autoinforme,abierto
Motivación y Orientación a metas,Eje III,Identidad y valores,2,agq-r_92,AGQ-R,Cuestionario de Metas de Logro Revisado,Autoinforme,abierto
Obsesiones y compulsiones,Eje I,Obsesiones y compulsiones,4,y-bocs_18,Y-BOCS,Escala de Obsesiones y Compulsiones de Yale-Brown,Heteroaplicado / Entrevista clínica,abierto
Obsesiones y compulsiones,Eje I,Obsesiones y compulsiones,4,oci-r_19,OCI-R,Inventario Obsesivo-Compulsivo Revisado,Autoinforme,abierto
Obsesiones y compulsiones,Eje I,Obsesiones y compulsiones,4,pi-wsur_20,PI-WSUR,Inventario de Padua Revisado - WSU,Autoinforme,comercial
Obsesiones y compulsiones,Eje I,Obsesiones y compulsiones,4,docs_21,DOCS,Escala Dimensional Obsesivo-Compulsiva,Autoinforme,abierto
Parkinsonismo/extrapiramidalismo inducido,Eje VI,Efectos de psicofármacos,1,sas_209,SAS,Simpson-Angus Scale,Heteroaplicado / Entrevista clínica,academico
Perfeccionismo multidimensional,Eje II,Rasgos de personalidad,1,fmps_159,FMPS,Escala Multidimensional de Perfeccionismo,Autoinforme,academico
Personalidad Oscura y Luminosa (Tríadas y Tétradas),Eje III,Personalidad patológica,3,sd3_81,SD3,La Tríada Oscura Corta,Autoinforme,abierto
Personalidad Oscura y Luminosa (Tríadas y Tétradas),Eje III,Personalidad patológica,3,sd4_82,SD4,La Tétrada Oscura Corta,Autoinforme,abierto
Personalidad Oscura y Luminosa (Tríadas y Tétradas),Eje III,Personalidad patológica,3,lts_83,LTS,Escala de la Tríada Luminosa,Autoinforme,abierto
Preocupación crónica,Eje II,Ansiedad y fobia,1,pswq_52,PSWQ,Cuestionario de Preocupación del Estado de Pensilvania,Autoinforme,abierto
Psicopatología general (heteroaplicada),Eje I,Psicosis y experiencias delirantes,1,bprs_173,BPRS,Brief Psychiatric Rating Scale,Heteroaplicado / Entrevista clínica,academico
Psicopatología general (positiva/negativa),Eje I,Psicosis y experiencias delirantes,1,dai_193,DAI,¡OJO! Archivo etiquetado DAI contiene la PANSS completa,Autoinforme,academico
Psicosis y curso pronóstico,Eje I,Psicosis y curso pronóstico,1,scps_new,SCPS,Escala Pronóstica para la Esquizofrenia de Strauss y Carpenter,Heteroaplicado / Entrevista clínica,abierto
Pánico y agorafobia,Eje I,Pánico y agorafobia,1,pas_new,PAS,Escala de Pánico y Agorafobia de Bandelow (PAS),Heteroaplicado / Entrevista clínica,abierto
Quejas cognitivas subjetivas cotidianas,Eje V,Quejas cognitivas subjetivas cotidianas,1,cfss_new,CFSS,Escala de Autoevaluación del Funcionamiento Cognitivo (CFSS),Rendimiento neurocognitivo / Tarea de ejecución,abierto
Rasgo disposicional de personalidad,Eje III,Rasgo disposicional de personalidad,1,sss-v_new,SSS-V,Escala de Búsqueda de Sensaciones de Zuckerman (Forma V),Autoinforme,abierto
"Rasgos Patológicos de Personalidad (Afectividad Negativa, Desapego, Antagonismo, Desinhibición, Psicoticismo)",Eje III,Personalidad patológica,1,pid-5_80,PID-5,Inventario de Personalidad para el DSM-5,Autoinforme,abierto
"Rasgos de Personalidad (Neuroticismo, Extraversión, Apertura, Amabilidad, Responsabilidad)",Eje III,Rasgos de personalidad,4,neo-pi-r_76,NEO-PI-R,Inventario de Personalidad NEO Revisado,Autoinforme,comercial
"Rasgos de Personalidad (Neuroticismo, Extraversión, Apertura, Amabilidad, Responsabilidad)",Eje III,Rasgos de personalidad,4,bfi-2_77,BFI-2,Inventario de los Cinco Grandes 2,Autoinforme,abierto
"Rasgos de Personalidad (Neuroticismo, Extraversión, Apertura, Amabilidad, Responsabilidad)",Eje III,Rasgos de personalidad,4,hexaco-pi-r_78,HEXACO-PI-R,Inventario de Personalidad HEXACO Revisado,Autoinforme,abierto
"Rasgos de Personalidad (Neuroticismo, Extraversión, Apertura, Amabilidad, Responsabilidad)",Eje III,Rasgos de personalidad,4,tci-r_79,TCI-R,Inventario de Temperamento y Carácter Revisado,Autoinforme,academico
Rasgos de personalidad narcisista,Eje III,Personalidad patológica,1,npi-n_218,NPI-N,Narcissistic Personality Inventory,Autoinforme,academico
"Regulacion emocional (reevaluacion cognitiva, supresion expresiva)",Eje II,Regulación emocional,1,erq_158,ERQ,Emotion Regulation Questionnaire - Cuestionario de Autorregulacion Emocional,Autoinforme,abierto
Regulación afectiva y mecanismos de humor,Eje II,Regulación afectiva y mecanismos de humor,1,hsq-24_new,HSQ-24,Cuestionario de Estilos de Humor (HSQ-24),Autoinforme,abierto
Regulación y Desregulación emocional,Eje II,Regulación emocional,2,ders_59,DERS,Escala de Dificultades en la Regulación Emocional,Autoinforme,abierto
Regulación y Desregulación emocional,Eje II,Regulación emocional,2,cerq_60,CERQ,Cuestionario de Regulación Cognitiva de las Emociones,Autoinforme,abierto
Relación paciente-profesional,Eje VI,Apego y relaciones interpersonales,1,cremp_new1,CREM-P,Cuestionario de Relaciones Médico-Paciente (adaptación española del PDRQ),Autoinforme,abierto
"Rendimiento académico, Hábitos de estudio y Adaptación escolar",Eje IV,Rendimiento académico,2,chte_103,CHTE,Cuestionario de Hábitos y Técnicas de Estudio,Autoinforme,academico
"Rendimiento académico, Hábitos de estudio y Adaptación escolar",Eje IV,Rendimiento académico,2,basc-3_104,BASC-3,Sistema de Evaluación de la Conducta de Niños y Adolescentes (Subescalas de Adaptación),Autoinforme,comercial
Resiliencia,Eje II,Afrontamiento y resiliencia,1,rs14_162,RS-14,Escala de Resiliencia de 14 items,Autoinforme,academico
Resiliencia y superación de adversidades,Eje II,Resiliencia y superación de adversidades,1,er-25_new,ER-25,Escala de Resiliencia de Wagnild y Young (25 ítems),Autoinforme,comercial
"Resiliencia, Afrontamiento y Fortalezas",Eje IV,Afrontamiento y resiliencia,3,cd-risc_115,CD-RISC,Escala de Resiliencia de Connor-Davidson,Autoinforme,comercial
"Resiliencia, Afrontamiento y Fortalezas",Eje IV,Afrontamiento y resiliencia,3,lot-r_116,LOT-R,Test de Orientación Vital Revisado (Optimismo),Autoinforme,abierto
"Resiliencia, Afrontamiento y Fortalezas",Eje IV,Afrontamiento y resiliencia,3,via-is_118,VIA-IS,Inventario VIA de Fortalezas Personales,Autoinforme,abierto
Respuesta al tratamiento en TEPT,Eje I,Trauma y estrés postraumático,1,top-8_220,TOP-8,Escala de 8 ítems para los Resultados del Tratamiento del TEPT,Heteroaplicado / Entrevista clínica,academico
Riesgo de apnea del sueño,Eje VI,Sueño y ritmos circadianos,1,stopbang_new1,STOP-Bang,Cuestionario STOP-Bang,Autoinforme,abierto
Riesgo de psicosis,Eje I,Psicosis y experiencias delirantes,1,sips_174,SIPS,Entrevista Estructurada para Síndromes Prodrómicos,Heteroaplicado / Entrevista clínica,academico
Riesgo de violencia,Eje I,"Agresividad, ira y violencia",1,hcr-20_v3_49,HCR-20 v3,Guía de Evaluación del Riesgo de Violencia,Autoinforme,comercial
Riesgo de violencia autodirigida,Eje I,"Agresividad, ira y violencia",1,rvplutchik_186,RV-Plutchik,Escala de Riesgo de Violencia de Plutchik,Autoinforme,academico
"Riesgo suicida (desesperanza, ideacion/planeacion, aislamiento social, apoyo familiar)",Eje I,Suicidio y autolesión,1,ers_147,ERS,Escala para Evaluar el Riesgo Suicida,Autoinforme,academico
Riesgo y conducta suicida,Eje I,Riesgo y conducta suicida,2,sis_new,SIS,Escala de Intencionalidad Suicida de Beck (SIS),Heteroaplicado / Entrevista clínica,abierto
Riesgo y conducta suicida,Eje I,Riesgo y conducta suicida,2,rs-plutchik_new,RS-Plutchik,Escala de Riesgo Suicida de Plutchik,Autoinforme,abierto
Rigidez y Flexibilidad cognitiva,Eje II,Flexibilidad psicológica y mindfulness,2,aaq-ii_54,AAQ-II,Cuestionario de Aceptación y Acción II,Autoinforme,abierto
Rigidez y Flexibilidad cognitiva,Eje II,Flexibilidad psicológica y mindfulness,2,cfi_55,CFI,Inventario de Flexibilidad Cognitiva,Autoinforme,abierto
Rumiación,Eje II,Esquemas y procesos cognitivos,1,rrs_51,RRS,Escala de Respuestas Rumiativas,Autoinforme,abierto
Salud sexual (disfunción inducida por fármacos),Eje VI,Salud sexual,1,prsexdq_new1,PRSexDQ-SALSEX,Cuestionario de Disfunción Sexual Secundaria al Tratamiento con Psicofármacos,Heteroaplicado / Entrevista clínica,abierto
Salud sexual (propensión a inhibición/excitación),Eje VI,Salud sexual,1,sisses_new1,SIS/SES-SF,Sexual Inhibition/Sexual Excitation Scales — Short Form,Autoinforme,abierto
Satisfacción diádica y calidad de la relación de pareja,Eje IV,Apego y relaciones interpersonales,1,ras-h_170,RAS-H,Escala de Valoración de la Relación (Relationship Assessment Scale - Hendrick),Autoinforme,academico
Sensibilidad al rechazo,Eje II,Apego y relaciones interpersonales,1,rsq_71,RSQ,Cuestionario de Sensibilidad al Rechazo,Autoinforme,abierto
Sensibilización central y carga de síntomas,Eje VI,Ansiedad y fobia,1,csi_new1,CSI,Inventario de Sensibilización Central,Autoinforme,abierto
Sentido de vida y Propósito vital,Eje III,Bienestar y satisfacción vital,1,mlq_90,MLQ,Cuestionario de Significado de la Vida,Autoinforme,abierto
Severidad de dependencia alcohólica,Eje I,Sustancias y alcoholismo,1,sadq_198,SADQ,Severity of Alcohol Dependence Questionnaire,Heteroaplicado / Entrevista clínica,academico
Severidad de manía,Eje I,Bipolaridad y manía,2,ymrs_182,YMRS,Young Mania Rating Scale,Heteroaplicado / Entrevista clínica,academico
Severidad de manía,Eje I,Bipolaridad y manía,2,mas_184,MAS,Escala de Manía de Bech-Rafaelsen,Heteroaplicado / Entrevista clínica,academico
Severidad de manía (heteroaplicada),Eje I,Bipolaridad y manía,1,evmac_183,EVMAC,Escala para la Valoración de la Manía por Clínicos,Heteroaplicado / Entrevista clínica,academico
Severidad depresiva (heteroaplicada),Eje I,Depresión y estado de ánimo,1,madrs_178,MADRS,Montgomery-Asberg Depression Rating Scale,Heteroaplicado / Entrevista clínica,academico
"Sintomatologia limite (TLP): afecto negativo, autoimagen, autodestruccion, impulsividad, disociacion",Eje I,Personalidad patológica,1,bsl23_149,BSL-23,Borderline Symptom List-23,Autoinforme,academico
"Sintomatologia obsesivo-compulsiva (perdida de control mental, contaminacion, comprobacion, impulsos)",Eje I,Obsesiones y compulsiones,1,ip_148,IP,Inventario de Padua (Padua Inventory),Autoinforme,academico
Sobrecarga familiar y dinámica de cuidados,Eje IV,Sobrecarga familiar y dinámica de cuidados,1,zbi_new,ZBI,Escala de Sobrecarga del Cuidador de Zarit (ZBI),Heteroaplicado / Entrevista clínica,comercial
Soledad y aislamiento social,Eje II,Apoyo social y familia,2,ucla-r_74,UCLA-R,Escala de Soledad de UCLA Revisada,Autoinforme,abierto
Soledad y aislamiento social,Eje II,Apoyo social y familia,2,djgls_75,DJGLS,Escala de Soledad de De Jong Gierveld,Autoinforme,abierto
Somatización y ansiedad por la salud,Eje I,Dolor y síntomas somáticos,4,phq-15_22,PHQ-15,Cuestionario de Salud del Paciente - 15,Autoinforme,abierto
Somatización y ansiedad por la salud,Eje I,Dolor y síntomas somáticos,4,wi-7_23,WI,Índice de Whiteley,Autoinforme,abierto
Somatización y ansiedad por la salud,Eje I,Dolor y síntomas somáticos,4,shai_24,SHAI,Inventario Corto de Ansiedad por la Salud,Autoinforme,abierto
Somatización y ansiedad por la salud,Eje I,Dolor y síntomas somáticos,4,scl-90-r_25,SCL-90-R,Inventario de Síntomas SCL-90-R (Subescala Somatización),Autoinforme,comercial
Sueño y ritmos circadianos,Eje VI,Sueño y ritmos circadianos,3,psqi_135,PSQI,Índice de Calidad de Sueño de Pittsburgh,Autoinforme,abierto
Sueño y ritmos circadianos,Eje VI,Sueño y ritmos circadianos,3,isi_136,ISI,Índice de Gravedad del Insomnio,Autoinforme,abierto
Sueño y ritmos circadianos,Eje VI,Sueño y ritmos circadianos,3,ess_137,ESS,Escala de Somnolencia de Epworth,Autoinforme,abierto
Síntomas bulímicos,Eje I,Conducta alimentaria e imagen corporal,1,bite_202,BITE,Bulimic Investigatory Test Edinburgh,Autoinforme,academico
Síntomas disejecutivos conductuales,Eje V,Funciones ejecutivas,1,dex-sp_new1,DEX-Sp,Cuestionario Disejecutivo (versión española),Rendimiento neurocognitivo / Tarea de ejecución,abierto
Síntomas prodrómicos de psicosis,Eje I,Psicosis y experiencias delirantes,1,sops_175,SOPS,Scale of Prodromal Syndromes,Heteroaplicado / Entrevista clínica,academico
Síntomas somatomorfos y somatización,Eje VI,Síntomas somatomorfos y somatización,1,othmer-desouza_new,Othmer-DeSouza,Test de Detección de Somatización de Othmer y DeSouza,Autoinforme,abierto
Tabaco,Eje VI,Sustancias y alcoholismo,1,ftnd_new1,FTND,Test de Fagerström de Dependencia de la Nicotina,Autoinforme,abierto
Trastorno bipolar y ciclotimia,Eje I,Trastorno bipolar y ciclotimia,1,bsds_new,BSDS,Escala Diagnóstica del Espectro Bipolar de Ghaemi,Autoinforme,abierto
Trastornos de la conducta alimentaria,Eje I,Trastornos de la conducta alimentaria,3,eat-40_new,EAT-40,Test de Actitudes hacia la Alimentación (40 ítems),Autoinforme,abierto
Trastornos de la conducta alimentaria,Eje I,Trastornos de la conducta alimentaria,3,eat-26_new,EAT-26,Test de Actitudes hacia la Alimentación - Versión Abreviada (26 ítems),Autoinforme,abierto
Trastornos de la conducta alimentaria,Eje I,Trastornos de la conducta alimentaria,3,eat-40-sergas_new,EAT-40-SERGAS,Test de Actitudes hacia la Alimentación (Formato SERGAS),Autoinforme,abierto
Trauma acumulado y Adversidad temprana,Eje I,Trauma y estrés postraumático,2,aceq_93,ACEQ,Cuestionario de Experiencias Adversas en la Infancia,Autoinforme,abierto
Trauma acumulado y Adversidad temprana,Eje I,Trauma y estrés postraumático,2,ctq-sf_94,CTQ-SF,Cuestionario de Trauma Infantil - Versión Breve,Autoinforme,comercial
Trauma y estrés postraumático,Eje I,Trauma y estrés postraumático,4,pcl-5_9,PCL-5,Lista de Chequeo del TEPT para el DSM-5,Autoinforme,abierto
Trauma y estrés postraumático,Eje I,Trauma y estrés postraumático,4,caps-5_10,CAPS-5,Escala Administrada por Clínico para el TEPT,Heteroaplicado / Entrevista clínica,abierto
Trauma y estrés postraumático,Eje I,Trauma y estrés postraumático,4,ies-r_11,IES-R,Escala de Impacto del Evento Revisada,Autoinforme,abierto
Trauma y estrés postraumático,Eje I,Trauma y estrés postraumático,4,dts_12,DTS,Escala de Trauma de Davidson,Autoinforme,comercial
Uso problemático de sustancias,Eje I,Sustancias y alcoholismo,3,assist_38,ASSIST,"Prueba de Detección de Consumo de Alcohol, Tabaco y Sustancias",Heteroaplicado / Entrevista clínica,abierto
Uso problemático de sustancias,Eje I,Sustancias y alcoholismo,3,audit_39,AUDIT,Prueba de Identificación de Trastornos Relacionados con el Alcohol,Heteroaplicado / Entrevista clínica,abierto
Uso problemático de sustancias,Eje I,Sustancias y alcoholismo,3,dast-10_40,DAST-10,Prueba de Detección de Abuso de Drogas,Heteroaplicado / Entrevista clínica,abierto
Valores personales,Eje III,Identidad y valores,1,pvq_89,PVQ,Cuestionario de Valores de Retrato,Autoinforme,abierto
Vida valiosa (Progreso vs Obstruccion) segun valores personales,Eje II,Identidad y valores,1,vq_165,VQ,Valuing Questionnaire,Autoinforme,academico
Vulnerabilidad y victimización,Eje I,Trauma y estrés postraumático,1,jvq_50,JVQ,Cuestionario de Victimización Juvenil,Autoinforme,abierto
