funcion_clinica,total_instrumentos,id_test,sigla_test,nombre_test,eje_test,constructo,tipo_instrumento,acceso
Diagnóstico y severidad,183,europasi_197,EuropASI,Índice Europeo de Gravedad de la Adicción,Eje I,Gravedad multidimensional de adicción,Heteroaplicado / Entrevista clínica,academico
Diagnóstico y severidad,183,eida_199,EIDA,Escala de la Intensidad de la Dependencia al Alcohol,Eje I,Dependencia alcohólica,Heteroaplicado / Entrevista clínica,academico
Diagnóstico y severidad,183,ocds_200,OCDS,Obsessive Compulsive Drinking Scale,Eje I,Craving/compulsión por alcohol,Autoinforme,academico
Diagnóstico y severidad,183,edi2_201,EDI-2,Inventario de Trastornos de la Conducta Alimentaria-2,Eje I,Conducta alimentaria,Autoinforme,academico
Diagnóstico y severidad,183,bite_202,BITE,Bulimic Investigatory Test Edinburgh,Eje I,Síntomas bulímicos,Autoinforme,academico
Diagnóstico y severidad,183,cos_203,COS,Cuestionario Oviedo de Calidad del Sueño,Eje VI,Calidad del sueño,Heteroaplicado / Entrevista clínica,academico
Diagnóstico y severidad,183,csfq_204,CSFQ,Changes in Sexual Functioning Questionnaire,Eje VI,Funcionamiento sexual,Autoinforme,academico
Diagnóstico y severidad,183,iief_205,IIEF,Índice Internacional de Función Eréctil,Eje VI,Función eréctil,Autoinforme,academico
Diagnóstico y severidad,183,mghsfq_206,MGH-SFQ,Massachusetts General Hospital Sexual Functioning Q.,Eje VI,Funcionamiento sexual,Autoinforme,academico
Diagnóstico y severidad,183,asex_207,ASEX,Arizona Sexual Experience Scale,Eje VI,Funcionamiento sexual,Heteroaplicado / Entrevista clínica,academico
Diagnóstico y severidad,183,bwsq_208,BWSQ,Benzodiazepine Withdrawal Symptom Questionnaire,Eje VI,Abstinencia de benzodiacepinas,Autoinforme,academico
Diagnóstico y severidad,183,sas_209,SAS,Simpson-Angus Scale,Eje VI,Parkinsonismo/extrapiramidalismo inducido,Heteroaplicado / Entrevista clínica,academico
Diagnóstico y severidad,183,uku_210,UKU,UKU Side Effect Rating Scale,Eje VI,Efectos secundarios de psicofármacos,Heteroaplicado / Entrevista clínica,academico
Diagnóstico y severidad,183,eeaggaf_211,EEAG-GAF,Escala de Evaluación de la Actividad Global,Eje IV,Funcionamiento global (eje V del DSM-IV),Autoinforme,academico
Diagnóstico y severidad,183,sdi_212,SDI,Sheehan Disability Inventory,Eje IV,Discapacidad funcional,Heteroaplicado / Entrevista clínica,academico
Diagnóstico y severidad,183,sass_213,SASS,Social Adaptation Self-evaluation Scale,Eje IV,Adaptación social,Autoinforme,academico
Diagnóstico y severidad,183,qls_214,QLS,Quality of Life Scale (Heinrichs),Eje IV,Calidad de vida en esquizofrenia,Heteroaplicado / Entrevista clínica,academico
Diagnóstico y severidad,183,cscv_215,CSCV,Cuestionario Sevilla de Calidad de Vida,Eje IV,Calidad de vida,Autoinforme,academico
Diagnóstico y severidad,183,qlds_216,QLDS,Quality of Life Depression Scale,Eje IV,Calidad de vida en depresión,Autoinforme,academico
Diagnóstico y severidad,183,adrql_217,ADRQL,Alzheimer's Disease Related Quality of Life,Eje IV,Calidad de vida en demencia,Observacional / Registro conductual,academico
Diagnóstico y severidad,183,npi-n_218,NPI-N,Narcissistic Personality Inventory,Eje III,Rasgos de personalidad narcisista,Autoinforme,academico
Diagnóstico y severidad,183,top-8_220,TOP-8,Escala de 8 ítems para los Resultados del Tratamiento del TEPT,Eje I,Respuesta al tratamiento en TEPT,Heteroaplicado / Entrevista clínica,academico
Diagnóstico y severidad,183,eat-40_new,EAT-40,Test de Actitudes hacia la Alimentación (40 ítems),Eje I,Trastornos de la conducta alimentaria,Autoinforme,abierto
Diagnóstico y severidad,183,eat-40-sergas_new,EAT-40-SERGAS,Test de Actitudes hacia la Alimentación (Formato SERGAS),Eje I,Trastornos de la conducta alimentaria,Autoinforme,abierto
Diagnóstico y severidad,183,scps_new,SCPS,Escala Pronóstica para la Esquizofrenia de Strauss y Carpenter,Eje I,Psicosis y curso pronóstico,Heteroaplicado / Entrevista clínica,abierto
Diagnóstico y severidad,183,sds_new,SDS,Escala de Autoevaluación de la Depresión de Zung y Conde (SDS),Eje I,Depresión y estado de ánimo,Autoinforme,abierto
Diagnóstico y severidad,183,hars_new,HARS,Escala de Hamilton para la Ansiedad (HAM-A),Eje I,Ansiedad psíquica y somática,Heteroaplicado / Entrevista clínica,abierto
Diagnóstico y severidad,183,pas_new,PAS,Escala de Pánico y Agorafobia de Bandelow (PAS),Eje I,Pánico y agorafobia,Heteroaplicado / Entrevista clínica,abierto
Diagnóstico y severidad,183,lsas_new,LSAS,Escala de Ansiedad Social de Liebowitz (LSAS),Eje I,Fobia social y ansiedad de desempeño,Heteroaplicado / Entrevista clínica,abierto
Diagnóstico y severidad,183,carroll-tag_new,Carroll-TAG,Escala de Detección del TAG de Carroll y Davidson,Eje I,Ansiedad generalizada,Heteroaplicado / Entrevista clínica,abierto
Diagnóstico y severidad,183,bhs_new,BHS,Escala de Desesperanza de Beck (BHS),Eje I,Desesperanza y riesgo suicida,Autoinforme,comercial
Diagnóstico y severidad,183,crea-24_new,CREA-24,Escala de Autopercepción de Creatividad (CREA-24),Eje III,Autoconcepto y autoeficacia creativa,Autoinforme,abierto
Diagnóstico y severidad,183,sss-v_new,SSS-V,Escala de Búsqueda de Sensaciones de Zuckerman (Forma V),Eje III,Rasgo disposicional de personalidad,Autoinforme,abierto
Diagnóstico y severidad,183,katz_new,KATZ,Índice de Katz de Actividades Básicas de la Vida Diaria (ABVD),Eje IV,Autonomía funcional y dependencia biológica,Observacional / Registro conductual,abierto
Diagnóstico y severidad,183,swbs_new,SWBS,Escala de Bienestar Social de Keyes,Eje IV,Bienestar social y ajuste comunitario,Autoinforme,abierto
Diagnóstico y severidad,183,cgi_new,CGI,Escala de Impresión Clínica Global de Guy (CGI),Eje IV,Funcionamiento global y severidad transdiagnóstica,Heteroaplicado / Entrevista clínica,abierto
Diagnóstico y severidad,183,q-les-q_new,Q-LES-Q,Cuestionario de Calidad de Vida: Satisfacción y Placer de Endicott,Eje IV,Calidad de vida y satisfacción vital,Autoinforme,abierto
Diagnóstico y severidad,183,zbi_new,ZBI,Escala de Sobrecarga del Cuidador de Zarit (ZBI),Eje IV,Sobrecarga familiar y dinámica de cuidados,Heteroaplicado / Entrevista clínica,comercial
Diagnóstico y severidad,183,his_new,HIS,Escala de Isquemia de Hachinski (HIS),Eje V,Diagnóstico diferencial de demencias,Heteroaplicado / Entrevista clínica,abierto
Diagnóstico y severidad,183,cfss_new,CFSS,Escala de Autoevaluación del Funcionamiento Cognitivo (CFSS),Eje V,Quejas cognitivas subjetivas cotidianas,Rendimiento neurocognitivo / Tarea de ejecución,abierto
Diagnóstico y severidad,183,gsqs_new,GSQS,Escala Groningen de la Calidad del Sueño (GSQS),Eje VI,Calidad de descanso e insomnio agudo,Autoinforme,abierto
Diagnóstico y severidad,183,laxitud-hdm_new,Laxitud-HdM,Criterios de Laxitud Articular del Hospital del Mar (Bulbena),Eje VI,Marcador somático de hiperlaxitud y pánico,Autoinforme,abierto
Diagnóstico y severidad,183,bars_new,BARS,Escala de Acatisia de Barnes (BARS),Eje VI,Efectos extrapiramidales y farmacovigilancia,Heteroaplicado / Entrevista clínica,abierto
Diagnóstico y severidad,183,aims_new,AIMS,Escala de Movimientos Involuntarios Anormales de Guy (AIMS),Eje VI,Farmacovigilancia y discinesia tardía,Heteroaplicado / Entrevista clínica,abierto
Evaluación pericial forense / Riesgo,12,aq_29,AQ,Cuestionario de Agresión,Eje I,Agresividad e ira,Autoinforme,abierto
Evaluación pericial forense / Riesgo,12,staxi-2_30,STAXI-2,Inventario de Expresión de Ira Estado-Rasgo 2,Eje I,Agresividad e ira,Autoinforme,comercial
Evaluación pericial forense / Riesgo,12,pcl-r_32,PCL-R,Escala de Calificación de Psicopatía Revisada,Eje III,Conducta antisocial,Heteroaplicado / Entrevista clínica,comercial
Evaluación pericial forense / Riesgo,12,bss_47,BSS,Escala de Ideación Suicida de Beck,Eje I,Ideación y Conducta suicida,Autoinforme,comercial
Evaluación pericial forense / Riesgo,12,jvq_50,JVQ,Cuestionario de Victimización Juvenil,Eje I,Vulnerabilidad y victimización,Autoinforme,abierto
Evaluación pericial forense / Riesgo,12,aceq_93,ACEQ,Cuestionario de Experiencias Adversas en la Infancia,Eje I,Trauma acumulado y Adversidad temprana,Autoinforme,abierto
Evaluación pericial forense / Riesgo,12,sips_174,SIPS,Entrevista Estructurada para Síndromes Prodrómicos,Eje I,Riesgo de psicosis,Heteroaplicado / Entrevista clínica,academico
Evaluación pericial forense / Riesgo,12,oas_177,OAS,Overt Aggression Scale,Eje I,Agresividad manifiesta observada,Heteroaplicado / Entrevista clínica,academico
Evaluación pericial forense / Riesgo,12,tq_191,TQ,Trauma Questionnaire,Eje I,Exposición a eventos traumáticos,Autoinforme,academico
Evaluación pericial forense / Riesgo,12,abs_new,ABS,Escala de Comportamiento Agitado de Corrigan (ABS),Eje I,Agitación psicomotriz e impulsividad aguda,Observacional / Registro conductual,abierto
Evaluación pericial forense / Riesgo,12,sis_new,SIS,Escala de Intencionalidad Suicida de Beck (SIS),Eje I,Riesgo y conducta suicida,Heteroaplicado / Entrevista clínica,abierto
Evaluación pericial forense / Riesgo,12,rs-plutchik_new,RS-Plutchik,Escala de Riesgo Suicida de Plutchik,Eje I,Riesgo y conducta suicida,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,rrs_51,RRS,Escala de Respuestas Rumiativas,Eje II,Rumiación,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,pswq_52,PSWQ,Cuestionario de Preocupación del Estado de Pensilvania,Eje II,Preocupación crónica,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,ius-12_53,IUS-12,Escala de Intolerancia a la Incertidumbre,Eje II,Intolerancia a la incertidumbre,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,aaq-ii_54,AAQ-II,Cuestionario de Aceptación y Acción II,Eje II,Rigidez y Flexibilidad cognitiva,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,cfi_55,CFI,Inventario de Flexibilidad Cognitiva,Eje II,Rigidez y Flexibilidad cognitiva,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,cfq_56,CFQ,Cuestionario de Fusión Cognitiva,Eje II,Fusión cognitiva,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,mcq-30_57,MCQ-30,Cuestionario de Metacogniciones,Eje II,Metacogniciones disfuncionales,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,ysq-s3_58,YSQ-S3,Cuestionario de Esquemas de Young,Eje II,Esquemas maladaptativos,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,ders_59,DERS,Escala de Dificultades en la Regulación Emocional,Eje II,Regulación y Desregulación emocional,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,cerq_60,CERQ,Cuestionario de Regulación Cognitiva de las Emociones,Eje II,Regulación y Desregulación emocional,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,leas_61,LEAS,Escala de Niveles de Conciencia Emocional,Eje II,Conciencia emocional,Rendimiento neurocognitivo / Tarea de ejecución,abierto
Monitoreo de proceso / Evolución,50,tas-20_62,TAS-20,Escala de Alexitimia de Toronto,Eje II,Claridad emocional y Alexitimia,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,meaq_63,MEAQ,Cuestionario Multidimensional de Evitación Experiencial,Eje II,Evitación experiencial,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,bads_64,BADS,Escala de Activación Conductual para la Depresión,Eje II,Activación y Evitación conductual,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,eros_65,EROS,Escala de Observación de Recompensas Ambientales,Eje II,Activación y Evitación conductual,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,brief_cope_66,Brief COPE,Inventario Breve de Afrontamiento,Eje II,Exposición y afrontamiento,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,bis_68,BIS/BAS,Escalas del Sistema de Inhibición y Aproximación Conductual,Eje II,Búsqueda de recompensa,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,ecr-r_69,ECR-R,Experiencias en Relaciones Cercanas - Revisado,Eje II,Apego,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,idi_70,IDI,Inventario de Dependencia Interpersonal,Eje II,Dependencia interpersonal,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,rsq_71,RSQ,Cuestionario de Sensibilidad al Rechazo,Eje II,Sensibilidad al rechazo,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,iip-32_72,IIP-32,Inventario de Problemas Interpersonales (Versión Breve),Eje II,Comunicación interpersonal y Asertividad,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,ras_73,RAS,Escala de Asertividad de Rathus,Eje II,Comunicación interpersonal y Asertividad,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,ucla-r_74,UCLA-R,Escala de Soledad de UCLA Revisada,Eje II,Soledad y aislamiento social,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,djgls_75,DJGLS,Escala de Soledad de De Jong Gierveld,Eje II,Soledad y aislamiento social,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,sf-36_113,SF-36,Cuestionario de Salud SF-36,Eje IV,Calidad de vida,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,whoqol-bref_114,WHOQOL-BREF,Cuestionario de Calidad de Vida de la OMS - Versión Breve,Eje IV,Calidad de vida,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,maia_133,MAIA,Evaluación Multidimensional de la Conciencia Interoceptiva,Eje II,Cognición Social e Interocepción,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,ersq_new1,ERSQ,Emotion-Regulation Skills Questionnaire (Cuestionario de Habilidades de Regulación Emocional),Eje II,Habilidades específicas de regulación emocional (modelo ACE),Autoinforme,abierto
Monitoreo de proceso / Evolución,50,cae_156,CAE,Cuestionario de Afrontamiento del Estres,Eje II,Estrategias de afrontamiento del estres,Autoinforme,academico
Monitoreo de proceso / Evolución,50,eas_157,EAS,Escala de Apoyo Social,Eje II,Apoyo social percibido (familiar y de amistades),Autoinforme,academico
Monitoreo de proceso / Evolución,50,erq_158,ERQ,Emotion Regulation Questionnaire - Cuestionario de Autorregulacion Emocional,Eje II,"Regulacion emocional (reevaluacion cognitiva, supresion expresiva)",Autoinforme,abierto
Monitoreo de proceso / Evolución,50,fmps_159,FMPS,Escala Multidimensional de Perfeccionismo,Eje II,Perfeccionismo multidimensional,Autoinforme,academico
Monitoreo de proceso / Evolución,50,panas_161,PANAS,Escala de Afecto Positivo y Negativo,Eje II,Afecto positivo y negativo,Autoinforme,academico
Monitoreo de proceso / Evolución,50,rs14_162,RS-14,Escala de Resiliencia de 14 items,Eje II,Resiliencia,Autoinforme,academico
Monitoreo de proceso / Evolución,50,tmms24_163,TMMS-24,Trait Meta-Mood Scale-24,Eje II,"Inteligencia emocional percibida (atencion, claridad, reparacion)",Autoinforme,academico
Monitoreo de proceso / Evolución,50,beaq_164,BEAQ,Brief Experiential Avoidance Questionnaire,Eje II,Evitacion experiencial,Autoinforme,academico
Monitoreo de proceso / Evolución,50,vq_165,VQ,Valuing Questionnaire,Eje II,Vida valiosa (Progreso vs Obstruccion) segun valores personales,Autoinforme,academico
Monitoreo de proceso / Evolución,50,psyflex_166,Psy-Flex,Cuestionario Psy-Flex (flexibilidad psicologica),Eje II,"Flexibilidad psicologica (presencia, apertura, defusion, yo estable, valores, compromiso)",Autoinforme,academico
Monitoreo de proceso / Evolución,50,cope48_167,COPE-48,Versión española del COPE-48 (adaptación clínica del COPE Inventory),Eje II,"Afrontamiento (coping), 9 escalas clínicas",Autoinforme,abierto
Monitoreo de proceso / Evolución,50,ffmq-sf_168,FFMQ-SF,Cuestionario de Cinco Facetas de Mindfulness - Forma Corta,Eje II,"Mindfulness y regulacion emocional (5 facetas: observar, describir, actuar con consciencia, no juzgar, no reactividad)",Autoinforme,abierto
Monitoreo de proceso / Evolución,50,scs_169,SCS,Escala de Autocompasión (Self-Compassion Scale - Formas de 26 y 12 ítems),Eje II,Autocompasión y regulación afectiva (3 polaridades / 6 subescalas),Autoinforme,abierto
Monitoreo de proceso / Evolución,50,aim-a_219,AIM-A,Affect Intensity Measure,Eje II,Intensidad de la reactividad afectiva,Autoinforme,academico
Monitoreo de proceso / Evolución,50,diario-panico_new,Diario-Panico,Trastorno de Pánico: Diario del Paciente (Autorregistro TCC),Eje I,Crisis de angustia y pánico,Observacional / Registro conductual,abierto
Monitoreo de proceso / Evolución,50,empc_new,EMPC,Escala Motivacional de Pensamiento Crítico (EMPC),Eje II,Estilos de pensamiento y metacognición,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,tsi_new,TSI,Inventario de Estilos de Pensamiento de Sternberg (TSI),Eje II,Estilos cognitivos y autogobierno mental,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,sseit_new,SSEIT,Escala de Inteligencia Emocional de Schutte (SSEIT),Eje II,Inteligencia emocional autopercibida,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,iss_new,ISS,Inventario de Situaciones Sociales (ISS),Eje II,Afrontamiento interpersonal y asertividad,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,hsq-24_new,HSQ-24,Cuestionario de Estilos de Humor (HSQ-24),Eje II,Regulación afectiva y mecanismos de humor,Autoinforme,abierto
Monitoreo de proceso / Evolución,50,er-25_new,ER-25,Escala de Resiliencia de Wagnild y Young (25 ítems),Eje II,Resiliencia y superación de adversidades,Autoinforme,comercial
Monitoreo de proceso / Evolución,50,eq-5d_new,EQ-5D,Cuestionario de Salud EuroQoL-5D,Eje IV,Calidad de vida relacionada con la salud,Autoinforme,comercial
