acceso_categoria,total_instrumentos,protocolos_disponibles,id_test,sigla_test,nombre_test,eje_test,constructo,protocolo_disponible,regimen_licencia
academico,71,69,cae_156,CAE,Cuestionario de Afrontamiento del Estres,Eje II,Estrategias de afrontamiento del estres,SI,No verificado
academico,71,69,eas_157,EAS,Escala de Apoyo Social,Eje II,Apoyo social percibido (familiar y de amistades),SI,No verificado
academico,71,69,fmps_159,FMPS,Escala Multidimensional de Perfeccionismo,Eje II,Perfeccionismo multidimensional,SI,No verificado
academico,71,69,panas_161,PANAS,Escala de Afecto Positivo y Negativo,Eje II,Afecto positivo y negativo,SI,No verificado
academico,71,69,rs14_162,RS-14,Escala de Resiliencia de 14 items,Eje II,Resiliencia,SI,No verificado (instrumento comercial)
academico,71,69,tmms24_163,TMMS-24,Trait Meta-Mood Scale-24,Eje II,"Inteligencia emocional percibida (atencion, claridad, reparacion)",SI,No verificado
academico,71,69,beaq_164,BEAQ,Brief Experiential Avoidance Questionnaire,Eje II,Evitacion experiencial,SI,No verificado
academico,71,69,vq_165,VQ,Valuing Questionnaire,Eje II,Vida valiosa (Progreso vs Obstruccion) segun valores personales,SI,"Si, con restriccion de uso no comercial y sin obras derivadas"
academico,71,69,psyflex_166,Psy-Flex,Cuestionario Psy-Flex (flexibilidad psicologica),Eje II,"Flexibilidad psicologica (presencia, apertura, defusion, yo estable, valores, compromiso)",SI,"Apertura academica declarada, licencia exacta no verificada"
academico,71,69,ras-h_170,RAS-H,Escala de Valoración de la Relación (Relationship Assessment Scale - Hendrick),Eje IV,Satisfacción diádica y calidad de la relación de pareja,SI,Si
academico,71,69,mec_171,MEC,Mini-Examen Cognoscitivo de Lobo,Eje V,Cribado cognitivo global,SI,"A verificar (adapt. española de MMSE, uso clínico extendido)"
academico,71,69,adascog_172,ADAS-Cog,Alzheimer's Disease Assessment Scale - Cognitiva,Eje V,Deterioro cognitivo en demencia,SI,Restringido (uso bajo licencia en ensayos clínicos)
academico,71,69,bprs_173,BPRS,Brief Psychiatric Rating Scale,Eje I,Psicopatología general (heteroaplicada),SI,Público (Overall & Gorham 1962)
academico,71,69,sips_174,SIPS,Entrevista Estructurada para Síndromes Prodrómicos,Eje I,Riesgo de psicosis,SI,"Académico, requiere permiso de autores (Yale PRIME)"
academico,71,69,sops_175,SOPS,Scale of Prodromal Syndromes,Eje I,Síntomas prodrómicos de psicosis,SI,"Académico, requiere permiso (Yale PRIME)"
academico,71,69,sumd_176,SUMD,Scale to Assess Unawareness of Mental Disorder,Eje I,Insight/conciencia de enfermedad,SI,Académico (Amador)
academico,71,69,oas_177,OAS,Overt Aggression Scale,Eje I,Agresividad manifiesta observada,SI,Público (Yudofsky et al. 1986)
academico,71,69,madrs_178,MADRS,Montgomery-Asberg Depression Rating Scale,Eje I,Severidad depresiva (heteroaplicada),SI,Público/libre uso académico
academico,71,69,gds_179,GDS,"Geriatric Depression Scale (Yesavage, 30 items)",Eje I,Depresión en adultos mayores,SI,Público
academico,71,69,cds_180,CDS,Calgary Depression Scale for Schizophrenia,Eje I,Depresión en esquizofrenia,SI,"Académico, libre para uso clínico/investigación"
academico,71,69,mdq_181,MDQ,Mood Disorder Questionnaire,Eje I,Cribado de espectro bipolar,SI,"Público (Hirschfeld, uso libre no comercial)"
academico,71,69,ymrs_182,YMRS,Young Mania Rating Scale,Eje I,Severidad de manía,SI,Público/libre uso académico
academico,71,69,evmac_183,EVMAC,Escala para la Valoración de la Manía por Clínicos,Eje I,Severidad de manía (heteroaplicada),SI,A verificar
academico,71,69,mas_184,MAS,Escala de Manía de Bech-Rafaelsen,Eje I,Severidad de manía,SI,"Académico, libre uso"
academico,71,69,rfl_185,RFL,Reasons for Living Inventory (Linehan),Eje I,Factores protectores frente al suicidio,SI,"Académico, libre uso investigación/clínica"
academico,71,69,rvplutchik_186,RV-Plutchik,Escala de Riesgo de Violencia de Plutchik,Eje I,Riesgo de violencia autodirigida,SI,"Académico, libre uso"
academico,71,69,eiplutchik_187,EI-Plutchik,Escala de Impulsividad de Plutchik,Eje I,Impulsividad,SI,"Académico, libre uso"
academico,71,69,spin_188,SPIN,Social Phobia Inventory,Eje I,Fobia social,SI,"Académico, libre uso"
academico,71,69,bsps_189,BSPS,Brief Social Phobia Scale (Davidson),Eje I,Fobia social (heteroaplicada),SI,"Académico, libre uso"
academico,71,69,bsa_190,BSA,Brief Scale for Anxiety (Tyrer),Eje I,Ansiedad general (heteroaplicada),SI,Público
academico,71,69,tq_191,TQ,Trauma Questionnaire,Eje I,Exposición a eventos traumáticos,SI,Académico
academico,71,69,dgrp_192,DGRP,Duke Global Rating Scale for PTSD,Eje I,Cambio global en TEPT,SI,Académico
academico,71,69,dai_193,DAI,¡OJO! Archivo etiquetado DAI contiene la PANSS completa,Eje I,Psicopatología general (positiva/negativa),SI,"Restringido (PANSS es comercial, MHS)"
academico,71,69,bdhi_194,BDHI,Buss-Durkee Hostility Inventory,Eje I,Hostilidad/agresividad,SI,"Académico clásico, uso extendido"
academico,71,69,malt_195,MALT,Münchner Alkoholismustest,Eje I,Diagnóstico de alcoholismo,SI,Académico
academico,71,69,isca_196,ISCA,Interrogatorio Sistematizado de Consumos Alcohólicos,Eje I,Consumo de alcohol,SI,Académico
academico,71,69,europasi_197,EuropASI,Índice Europeo de Gravedad de la Adicción,Eje I,Gravedad multidimensional de adicción,SI,"Académico, libre uso investigación/clínica"
academico,71,69,sadq_198,SADQ,Severity of Alcohol Dependence Questionnaire,Eje I,Severidad de dependencia alcohólica,SI,Académico
academico,71,69,eida_199,EIDA,Escala de la Intensidad de la Dependencia al Alcohol,Eje I,Dependencia alcohólica,SI,Académico
academico,71,69,ocds_200,OCDS,Obsessive Compulsive Drinking Scale,Eje I,Craving/compulsión por alcohol,SI,Académico
academico,71,69,edi2_201,EDI-2,Inventario de Trastornos de la Conducta Alimentaria-2,Eje I,Conducta alimentaria,SI,Restringido (Garner/PAR)
academico,71,69,bite_202,BITE,Bulimic Investigatory Test Edinburgh,Eje I,Síntomas bulímicos,SI,Académico
academico,71,69,cos_203,COS,Cuestionario Oviedo de Calidad del Sueño,Eje VI,Calidad del sueño,SI,"Académico, libre uso"
academico,71,69,csfq_204,CSFQ,Changes in Sexual Functioning Questionnaire,Eje VI,Funcionamiento sexual,SI,Académico
academico,71,69,iief_205,IIEF,Índice Internacional de Función Eréctil,Eje VI,Función eréctil,SI,"Académico, libre uso clínico"
academico,71,69,mghsfq_206,MGH-SFQ,Massachusetts General Hospital Sexual Functioning Q.,Eje VI,Funcionamiento sexual,SI,Académico
academico,71,69,asex_207,ASEX,Arizona Sexual Experience Scale,Eje VI,Funcionamiento sexual,SI,"Académico, libre uso"
academico,71,69,bwsq_208,BWSQ,Benzodiazepine Withdrawal Symptom Questionnaire,Eje VI,Abstinencia de benzodiacepinas,SI,Académico
academico,71,69,sas_209,SAS,Simpson-Angus Scale,Eje VI,Parkinsonismo/extrapiramidalismo inducido,SI,"Académico, libre uso clínico"
academico,71,69,uku_210,UKU,UKU Side Effect Rating Scale,Eje VI,Efectos secundarios de psicofármacos,SI,Académico
academico,71,69,eeaggaf_211,EEAG-GAF,Escala de Evaluación de la Actividad Global,Eje IV,Funcionamiento global (eje V del DSM-IV),SI,Público (derivado de criterios DSM)
academico,71,69,sdi_212,SDI,Sheehan Disability Inventory,Eje IV,Discapacidad funcional,SI,"Académico, libre uso"
academico,71,69,sass_213,SASS,Social Adaptation Self-evaluation Scale,Eje IV,Adaptación social,SI,Académico
academico,71,69,qls_214,QLS,Quality of Life Scale (Heinrichs),Eje IV,Calidad de vida en esquizofrenia,SI,Académico
academico,71,69,cscv_215,CSCV,Cuestionario Sevilla de Calidad de Vida,Eje IV,Calidad de vida,SI,Académico
academico,71,69,qlds_216,QLDS,Quality of Life Depression Scale,Eje IV,Calidad de vida en depresión,SI,"Académico, licencia de autor"
academico,71,69,adrql_217,ADRQL,Alzheimer's Disease Related Quality of Life,Eje IV,Calidad de vida en demencia,SI,Académico
academico,71,69,npi-n_218,NPI-N,Narcissistic Personality Inventory,Eje III,Rasgos de personalidad narcisista,SI,"Académico, uso libre investigación (sin traducción española verificada)"
academico,71,69,aim-a_219,AIM-A,Affect Intensity Measure,Eje II,Intensidad de la reactividad afectiva,SI,"Académico, uso libre investigación (sin traducción española verificada)"
academico,71,69,top-8_220,TOP-8,Escala de 8 ítems para los Resultados del Tratamiento del TEPT,Eje I,Respuesta al tratamiento en TEPT,SI,"Académico, descarga oficial gratuita CIBERSAM"
comercial,36,10,stai_0,STAI,Inventario de Ansiedad Estado-Rasgo,Eje I,Ansiedad y miedo,SI,"No (Sujeto a copyright, TEA Ediciones en España/Latam). Existen versiones de investigación."
comercial,36,10,bai_1,BAI,Inventario de Ansiedad de Beck,Eje I,Ansiedad y miedo,SI,No (Copyright de Pearson). Usado ampliamente en investigación con permisos.
comercial,36,10,isra_3,ISRA,Inventario de Situaciones y Respuestas de Ansiedad,Eje I,Ansiedad y miedo,NO,No (TEA Ediciones)
comercial,36,10,hads_4,HADS,Escala de Ansiedad y Depresión Hospitalaria,Eje I,Ansiedad y miedo,SI,"No estricto (tiene copyright de GL Assessment), pero ampliamente reproducido en literatura de acceso abierto para fines de investigación y uso clínico sin fines de lucro."
comercial,36,10,tics_8,TICS,Inventario de Estrés Crónico de Trier,Eje I,Estrés psicológico,NO,No (Hogrefe)
comercial,36,10,dts_12,DTS,Escala de Trauma de Davidson,Eje I,Trauma y estrés postraumático,SI,No (Copyright MHS Assessments)
comercial,36,10,bdi-ii_13,BDI-II,Inventario de Depresión de Beck - II,Eje I,Depresión y anhedonia,SI,No (Copyright Pearson)
comercial,36,10,pi-wsur_20,PI-WSUR,Inventario de Padua Revisado - WSU,Eje I,Obsesiones y compulsiones,SI,"No (Depende de derechos de la publicación original, uso de investigación permitido)."
comercial,36,10,scl-90-r_25,SCL-90-R,Inventario de Síntomas SCL-90-R (Subescala Somatización),Eje I,Somatización y ansiedad por la salud,NO,No (Pearson)
comercial,36,10,staxi-2_30,STAXI-2,Inventario de Expresión de Ira Estado-Rasgo 2,Eje I,Agresividad e ira,NO,No (Copyright PAR / TEA Ediciones)
comercial,36,10,pcl-r_32,PCL-R,Escala de Calificación de Psicopatía Revisada,Eje III,Conducta antisocial,NO,No (Multi-Health Systems / TEA Ediciones)
comercial,36,10,srp-iv_33,SRP-IV,Escala de Autoinforme de Psicopatía - Versión IV,Eje III,Conducta antisocial,NO,No (MHS)
comercial,36,10,scid-5-pd_34,SCID-5-PD,SCID-5-PD (Trastorno de la Personalidad Antisocial),Eje I,Conducta antisocial,NO,No (Copyright APA)
comercial,36,10,cbcl_35,CBCL,Inventario de Comportamiento Infantil (Subescalas Externalizantes),Eje I,Conducta disruptiva,NO,No (Achenbach System of Empirically Based Assessment - ASEBA)
comercial,36,10,panss_45,PANSS,Escala de los Síndromes Positivo y Negativo,Eje I,Desorganización cognitiva y conductual,SI,No (MHS)
comercial,36,10,bss_47,BSS,Escala de Ideación Suicida de Beck,Eje I,Ideación y Conducta suicida,SI,No (Pearson)
comercial,36,10,hcr-20_v3_49,HCR-20 v3,Guía de Evaluación del Riesgo de Violencia,Eje I,Riesgo de violencia,NO,No (Requiere manual)
comercial,36,10,neo-pi-r_76,NEO-PI-R,Inventario de Personalidad NEO Revisado,Eje III,"Rasgos de Personalidad (Neuroticismo, Extraversión, Apertura, Amabilidad, Responsabilidad)",NO,No (Licencia comercial)
comercial,36,10,af-5_85,AF-5,Autoconcepto Forma 5,Eje III,Autoconcepto,NO,No (TEA Ediciones)
comercial,36,10,ctq-sf_94,CTQ-SF,Cuestionario de Trauma Infantil - Versión Breve,Eje I,Trauma acumulado y Adversidad temprana,NO,No (NCS Pearson)
comercial,36,10,basc-3_104,BASC-3,Sistema de Evaluación de la Conducta de Niños y Adolescentes (Subescalas de Adaptación),Eje IV,"Rendimiento académico, Hábitos de estudio y Adaptación escolar",NO,No (Pearson)
comercial,36,10,mbi_105,MBI,Inventario de Burnout de Maslach,Eje IV,"Desempeño laboral, Burnout, Engagement y Adaptación ocupacional",NO,"No (Licencia Mind Garden), aunque a menudo usado libremente en investigación con versiones reducidas."
comercial,36,10,cd-risc_115,CD-RISC,Escala de Resiliencia de Connor-Davidson,Eje IV,"Resiliencia, Afrontamiento y Fortalezas",NO,"No (Licencia controlada por autores), aunque la versión de 10 ítems (CD-RISC 10) es muy accesible en investigación."
comercial,36,10,mmse_119,MMSE,Mini-Examen del Estado Cognitivo,Eje V,Cribado Cognitivo Global (Estado Mental),SI,"No (Copyright vigente de PAR Inc.), aunque históricamente usado de forma muy extendida en la práctica clínica."
comercial,36,10,d2-r_121,d2-R,Test de Atención d2-R,Eje V,"Atención (Sostenida, Selectiva, Dividida y Vigilancia)",NO,No (Licencia comercial)
comercial,36,10,tavec_123,TAVEC,Test de Aprendizaje Verbal de España-Complutense,Eje V,"Memoria (Trabajo, Episódica, Semántica, Visual, Aprendizaje)",NO,No (Comercializado)
comercial,36,10,wcst_125,WCST,Test de Clasificación de Tarjetas de Wisconsin,Eje V,Funciones Ejecutivas,NO,No (Licencia comercial)
comercial,36,10,brief-2_128,BRIEF-2,Evaluación Conductual de la Función Ejecutiva,Eje V,Funciones Ejecutivas,NO,No (Licencia comercial)
comercial,36,10,bnt_130,BNT,Test de Denominación de Boston,Eje V,"Comprensión, Expresión y Fluidez Verbal",NO,"No (Comercial, usualmente incluido en la Evaluación de Afasia de Boston)."
comercial,36,10,bpi_138,BPI,Inventario Breve de Dolor,Eje VI,"Dolor, fatiga y síntomas somáticos",NO,"No (Licencia administrada por la Universidad de Texas MD Anderson Cancer Center, pero gratuita para uso clínico e investigación sin financiamiento comercial)."
comercial,36,10,mac_144,MAC,Escala de Ajuste Mental al Cáncer,Eje VI,Enfermedad médica y afrontamiento,NO,"No (Bajo copyright de los autores originales, uso clínico restringido)."
comercial,36,10,mini_new,MINI,Entrevista Neuropsiquiátrica Internacional (MINI 5.0.0),Eje I,Evaluación diagnóstica multiaxial DSM-IV/CIE-10,NO,No (Sujeto a copyright Harm Research / D. Sheehan)
comercial,36,10,bhs_new,BHS,Escala de Desesperanza de Beck (BHS),Eje I,Desesperanza y riesgo suicida,NO,No (Copyright Pearson Clinical / TEA Ediciones)
comercial,36,10,er-25_new,ER-25,Escala de Resiliencia de Wagnild y Young (25 ítems),Eje II,Resiliencia y superación de adversidades,SI,No (Copyright The Resilience Center)
comercial,36,10,eq-5d_new,EQ-5D,Cuestionario de Salud EuroQoL-5D,Eje IV,Calidad de vida relacionada con la salud,NO,No (Copyright EuroQol Research Foundation)
comercial,36,10,zbi_new,ZBI,Escala de Sobrecarga del Cuidador de Zarit (ZBI),Eje IV,Sobrecarga familiar y dinámica de cuidados,NO,No (Copyright Mapi Research Trust)
