tema,ejes_asociados,total_instrumentos,sinonimos_busqueda,id_test,sigla_test,nombre_test,eje_test,constructo,tipo_instrumento,acceso
Depresión y estado de ánimo,Eje I; Eje II; Eje IV,13,Escala de Autoevaluación de la Depresión de Zung y Conde (SDS); SDS; TAG; afecto negativo; agorafobia; anhedonia; crisis de angustia; depresión mayor; distimia; estrés; estrés crónico; estrés percibido; fobia social; pánico; sobrecarga; tensión; ánimo bajo,madrs_178,MADRS,Montgomery-Asberg Depression Rating Scale,Eje I,Severidad depresiva (heteroaplicada),Heteroaplicado / Entrevista clínica,academico
Depresión y estado de ánimo,Eje I; Eje II; Eje IV,13,Escala de Autoevaluación de la Depresión de Zung y Conde (SDS); SDS; TAG; afecto negativo; agorafobia; anhedonia; crisis de angustia; depresión mayor; distimia; estrés; estrés crónico; estrés percibido; fobia social; pánico; sobrecarga; tensión; ánimo bajo,gds_179,GDS,"Geriatric Depression Scale (Yesavage, 30 items)",Eje I,Depresión en adultos mayores,Autoinforme,academico
Depresión y estado de ánimo,Eje I; Eje II; Eje IV,13,Escala de Autoevaluación de la Depresión de Zung y Conde (SDS); SDS; TAG; afecto negativo; agorafobia; anhedonia; crisis de angustia; depresión mayor; distimia; estrés; estrés crónico; estrés percibido; fobia social; pánico; sobrecarga; tensión; ánimo bajo,cds_180,CDS,Calgary Depression Scale for Schizophrenia,Eje I,Depresión en esquizofrenia,Autoinforme,academico
Depresión y estado de ánimo,Eje I; Eje II; Eje IV,13,Escala de Autoevaluación de la Depresión de Zung y Conde (SDS); SDS; TAG; afecto negativo; agorafobia; anhedonia; crisis de angustia; depresión mayor; distimia; estrés; estrés crónico; estrés percibido; fobia social; pánico; sobrecarga; tensión; ánimo bajo,qlds_216,QLDS,Quality of Life Depression Scale,Eje IV,Calidad de vida en depresión,Autoinforme,academico
Depresión y estado de ánimo,Eje I; Eje II; Eje IV,13,Escala de Autoevaluación de la Depresión de Zung y Conde (SDS); SDS; TAG; afecto negativo; agorafobia; anhedonia; crisis de angustia; depresión mayor; distimia; estrés; estrés crónico; estrés percibido; fobia social; pánico; sobrecarga; tensión; ánimo bajo,sds_new,SDS,Escala de Autoevaluación de la Depresión de Zung y Conde (SDS),Eje I,Depresión y estado de ánimo,Autoinforme,abierto
Desempeño laboral y burnout,Eje IV,2,agotamiento laboral; engagement; estrés laboral,mbi_105,MBI,Inventario de Burnout de Maslach,Eje IV,"Desempeño laboral, Burnout, Engagement y Adaptación ocupacional",Autoinforme,comercial
Desempeño laboral y burnout,Eje IV,2,agotamiento laboral; engagement; estrés laboral,uwes_106,UWES,Escala de Engagement en el Trabajo de Utrecht,Eje IV,"Desempeño laboral, Burnout, Engagement y Adaptación ocupacional",Autoinforme,abierto
Desesperanza y riesgo suicida,Eje I,1,BHS; Escala de Desesperanza de Beck (BHS),bhs_new,BHS,Escala de Desesperanza de Beck (BHS),Eje I,Desesperanza y riesgo suicida,Autoinforme,comercial
Diagnóstico diferencial de demencias,Eje V,1,Escala de Isquemia de Hachinski (HIS); HIS,his_new,HIS,Escala de Isquemia de Hachinski (HIS),Eje V,Diagnóstico diferencial de demencias,Heteroaplicado / Entrevista clínica,abierto
Dolor y síntomas somáticos,Eje I; Eje VI,7,dolor crónico; fatiga crónica; fibromialgia; somatización,phq-15_22,PHQ-15,Cuestionario de Salud del Paciente - 15,Eje I,Somatización y ansiedad por la salud,Autoinforme,abierto
Dolor y síntomas somáticos,Eje I; Eje VI,7,dolor crónico; fatiga crónica; fibromialgia; somatización,wi-7_23,WI,Índice de Whiteley,Eje I,Somatización y ansiedad por la salud,Autoinforme,abierto
Dolor y síntomas somáticos,Eje I; Eje VI,7,dolor crónico; fatiga crónica; fibromialgia; somatización,shai_24,SHAI,Inventario Corto de Ansiedad por la Salud,Eje I,Somatización y ansiedad por la salud,Autoinforme,abierto
Dolor y síntomas somáticos,Eje I; Eje VI,7,dolor crónico; fatiga crónica; fibromialgia; somatización,scl-90-r_25,SCL-90-R,Inventario de Síntomas SCL-90-R (Subescala Somatización),Eje I,Somatización y ansiedad por la salud,Autoinforme,comercial
Dolor y síntomas somáticos,Eje I; Eje VI,7,dolor crónico; fatiga crónica; fibromialgia; somatización,bpi_138,BPI,Inventario Breve de Dolor,Eje VI,"Dolor, fatiga y síntomas somáticos",Autoinforme,comercial
Dolor y síntomas somáticos,Eje I; Eje VI,7,dolor crónico; fatiga crónica; fibromialgia; somatización,pcs_139,PCS,Escala de Catastrofización del Dolor,Eje VI,"Dolor, fatiga y síntomas somáticos",Autoinforme,abierto
Dolor y síntomas somáticos,Eje I; Eje VI,7,dolor crónico; fatiga crónica; fibromialgia; somatización,fss_140,FSS,Escala de Gravedad de la Fatiga,Eje VI,"Dolor, fatiga y síntomas somáticos",Autoinforme,abierto
Efectos de psicofármacos,Eje VI,2,efectos secundarios; extrapiramidalismo; sedación; temblor,sas_209,SAS,Simpson-Angus Scale,Eje VI,Parkinsonismo/extrapiramidalismo inducido,Heteroaplicado / Entrevista clínica,academico
Efectos de psicofármacos,Eje VI,2,efectos secundarios; extrapiramidalismo; sedación; temblor,uku_210,UKU,UKU Side Effect Rating Scale,Eje VI,Efectos secundarios de psicofármacos,Heteroaplicado / Entrevista clínica,academico
Efectos extrapiramidales y farmacovigilancia,Eje VI,1,BARS; Escala de Acatisia de Barnes (BARS),bars_new,BARS,Escala de Acatisia de Barnes (BARS),Eje VI,Efectos extrapiramidales y farmacovigilancia,Heteroaplicado / Entrevista clínica,abierto
Esquemas y procesos cognitivos,Eje II,3,creencias centrales; distorsiones cognitivas; preocupación; rumiación,rrs_51,RRS,Escala de Respuestas Rumiativas,Eje II,Rumiación,Autoinforme,abierto
Esquemas y procesos cognitivos,Eje II,3,creencias centrales; distorsiones cognitivas; preocupación; rumiación,mcq-30_57,MCQ-30,Cuestionario de Metacogniciones,Eje II,Metacogniciones disfuncionales,Autoinforme,abierto
Esquemas y procesos cognitivos,Eje II,3,creencias centrales; distorsiones cognitivas; preocupación; rumiación,ysq-s3_58,YSQ-S3,Cuestionario de Esquemas de Young,Eje II,Esquemas maladaptativos,Autoinforme,abierto
Estilos cognitivos y autogobierno mental,Eje II,1,Inventario de Estilos de Pensamiento de Sternberg (TSI); TSI,tsi_new,TSI,Inventario de Estilos de Pensamiento de Sternberg (TSI),Eje II,Estilos cognitivos y autogobierno mental,Autoinforme,abierto
Estilos de pensamiento y metacognición,Eje II,1,EMPC; Escala Motivacional de Pensamiento Crítico (EMPC),empc_new,EMPC,Escala Motivacional de Pensamiento Crítico (EMPC),Eje II,Estilos de pensamiento y metacognición,Autoinforme,abierto
Estrés y estrés percibido,Eje I,3,TEPT; adaptación; coping; disociación; estrés; estrés agudo; estrés crónico; estrés percibido; resiliencia; sobrecarga; tensión; tolerancia a la frustración; trauma complejo,pss_6,PSS,Escala de Estrés Percibido,Eje I,Estrés psicológico,Autoinforme,abierto
Estrés y estrés percibido,Eje I,3,TEPT; adaptación; coping; disociación; estrés; estrés agudo; estrés crónico; estrés percibido; resiliencia; sobrecarga; tensión; tolerancia a la frustración; trauma complejo,tics_8,TICS,Inventario de Estrés Crónico de Trier,Eje I,Estrés psicológico,Autoinforme,comercial
Estrés y estrés percibido,Eje I,3,TEPT; adaptación; coping; disociación; estrés; estrés agudo; estrés crónico; estrés percibido; resiliencia; sobrecarga; tensión; tolerancia a la frustración; trauma complejo,pss14_155,PSS-14,Escala de Estres Percibido (version de 14 items),Eje I,"Estres psicologico percibido (incontrolabilidad, autoeficacia/afrontamiento)",Autoinforme,academico
Evaluación diagnóstica multiaxial DSM-IV/CIE-10,Eje I,1,Entrevista Neuropsiquiátrica Internacional (MINI 5.0.0); MINI,mini_new,MINI,Entrevista Neuropsiquiátrica Internacional (MINI 5.0.0),Eje I,Evaluación diagnóstica multiaxial DSM-IV/CIE-10,Heteroaplicado / Entrevista clínica,comercial
Farmacovigilancia y discinesia tardía,Eje VI,1,AIMS; Escala de Movimientos Involuntarios Anormales de Guy (AIMS),aims_new,AIMS,Escala de Movimientos Involuntarios Anormales de Guy (AIMS),Eje VI,Farmacovigilancia y discinesia tardía,Heteroaplicado / Entrevista clínica,abierto
Flexibilidad psicológica y mindfulness,Eje II,7,adaptabilidad; atención plena; flexibilidad cognitiva; mindfulness; percepción positiva; resiliencia,aaq-ii_54,AAQ-II,Cuestionario de Aceptación y Acción II,Eje II,Rigidez y Flexibilidad cognitiva,Autoinforme,abierto
Flexibilidad psicológica y mindfulness,Eje II,7,adaptabilidad; atención plena; flexibilidad cognitiva; mindfulness; percepción positiva; resiliencia,cfi_55,CFI,Inventario de Flexibilidad Cognitiva,Eje II,Rigidez y Flexibilidad cognitiva,Autoinforme,abierto
Flexibilidad psicológica y mindfulness,Eje II,7,adaptabilidad; atención plena; flexibilidad cognitiva; mindfulness; percepción positiva; resiliencia,cfq_56,CFQ,Cuestionario de Fusión Cognitiva,Eje II,Fusión cognitiva,Autoinforme,abierto
Flexibilidad psicológica y mindfulness,Eje II,7,adaptabilidad; atención plena; flexibilidad cognitiva; mindfulness; percepción positiva; resiliencia,meaq_63,MEAQ,Cuestionario Multidimensional de Evitación Experiencial,Eje II,Evitación experiencial,Autoinforme,abierto
Flexibilidad psicológica y mindfulness,Eje II,7,adaptabilidad; atención plena; flexibilidad cognitiva; mindfulness; percepción positiva; resiliencia,beaq_164,BEAQ,Brief Experiential Avoidance Questionnaire,Eje II,Evitacion experiencial,Autoinforme,academico
Flexibilidad psicológica y mindfulness,Eje II,7,adaptabilidad; atención plena; flexibilidad cognitiva; mindfulness; percepción positiva; resiliencia,psyflex_166,Psy-Flex,Cuestionario Psy-Flex (flexibilidad psicologica),Eje II,"Flexibilidad psicologica (presencia, apertura, defusion, yo estable, valores, compromiso)",Autoinforme,academico
Flexibilidad psicológica y mindfulness,Eje II,7,adaptabilidad; atención plena; flexibilidad cognitiva; mindfulness; percepción positiva; resiliencia,ffmq-sf_168,FFMQ-SF,Cuestionario de Cinco Facetas de Mindfulness - Forma Corta,Eje II,"Mindfulness y regulacion emocional (5 facetas: observar, describir, actuar con consciencia, no juzgar, no reactividad)",Autoinforme,abierto
Fobia social y ansiedad de desempeño,Eje I,1,Escala de Ansiedad Social de Liebowitz (LSAS); LSAS,lsas_new,LSAS,Escala de Ansiedad Social de Liebowitz (LSAS),Eje I,Fobia social y ansiedad de desempeño,Heteroaplicado / Entrevista clínica,abierto
Funcionamiento global y severidad transdiagnóstica,Eje IV,1,CGI; Escala de Impresión Clínica Global de Guy (CGI),cgi_new,CGI,Escala de Impresión Clínica Global de Guy (CGI),Eje IV,Funcionamiento global y severidad transdiagnóstica,Heteroaplicado / Entrevista clínica,abierto
Funcionamiento y discapacidad,Eje IV,5,adaptabilidad; autonomía; discapacidad física; discapacidad intelectual; discapacidad psíquica; funcionalidad,whodas_2.0_100,WHODAS 2.0,Cuestionario para la Evaluación de Discapacidad de la OMS 2.0,Eje IV,"Funcionamiento general, Discapacidad y Actividades de la vida diaria",Autoinforme,abierto
Funcionamiento y discapacidad,Eje IV,5,adaptabilidad; autonomía; discapacidad física; discapacidad intelectual; discapacidad psíquica; funcionalidad,indice_de_barth_101,BARTHEL,Índice de Barthel,Eje IV,"Funcionamiento general, Discapacidad y Actividades de la vida diaria",Observacional / Registro conductual,abierto
Funcionamiento y discapacidad,Eje IV,5,adaptabilidad; autonomía; discapacidad física; discapacidad intelectual; discapacidad psíquica; funcionalidad,escala_de_lawton_102,Escala de Lawton,Escala de Lawton y Brody,Eje IV,"Funcionamiento general, Discapacidad y Actividades de la vida diaria",Observacional / Registro conductual,abierto
Funcionamiento y discapacidad,Eje IV,5,adaptabilidad; autonomía; discapacidad física; discapacidad intelectual; discapacidad psíquica; funcionalidad,eeaggaf_211,EEAG-GAF,Escala de Evaluación de la Actividad Global,Eje IV,Funcionamiento global (eje V del DSM-IV),Autoinforme,academico
Funcionamiento y discapacidad,Eje IV,5,adaptabilidad; autonomía; discapacidad física; discapacidad intelectual; discapacidad psíquica; funcionalidad,sdi_212,SDI,Sheehan Disability Inventory,Eje IV,Discapacidad funcional,Heteroaplicado / Entrevista clínica,academico
Funciones ejecutivas,Eje V,7,control de la atención; flexibilidad cognitiva; inhibición; memoria de trabajo; organización; planificación; resolución de problemas,wcst_125,WCST,Test de Clasificación de Tarjetas de Wisconsin,Eje V,Funciones Ejecutivas,Rendimiento neurocognitivo / Tarea de ejecución,comercial
Funciones ejecutivas,Eje V,7,control de la atención; flexibilidad cognitiva; inhibición; memoria de trabajo; organización; planificación; resolución de problemas,stroop_test_126,Stroop Test,Test de Colores y Palabras,Eje V,Funciones Ejecutivas,Rendimiento neurocognitivo / Tarea de ejecución,abierto
Funciones ejecutivas,Eje V,7,control de la atención; flexibilidad cognitiva; inhibición; memoria de trabajo; organización; planificación; resolución de problemas,igt_127,IGT,Iowa Gambling Task,Eje V,Funciones Ejecutivas,Rendimiento neurocognitivo / Tarea de ejecución,abierto
Funciones ejecutivas,Eje V,7,control de la atención; flexibilidad cognitiva; inhibición; memoria de trabajo; organización; planificación; resolución de problemas,brief-2_128,BRIEF-2,Evaluación Conductual de la Función Ejecutiva,Eje V,Funciones Ejecutivas,Rendimiento neurocognitivo / Tarea de ejecución,comercial
Funciones ejecutivas,Eje V,7,control de la atención; flexibilidad cognitiva; inhibición; memoria de trabajo; organización; planificación; resolución de problemas,ifs_129,IFS,INECO Frontal Screening,Eje V,Funciones Ejecutivas,Rendimiento neurocognitivo / Tarea de ejecución,abierto
Funciones ejecutivas,Eje V,7,control de la atención; flexibilidad cognitiva; inhibición; memoria de trabajo; organización; planificación; resolución de problemas,dex-sp_new1,DEX-Sp,Cuestionario Disejecutivo (versión española),Eje V,Síntomas disejecutivos conductuales,Rendimiento neurocognitivo / Tarea de ejecución,abierto
Funciones ejecutivas,Eje V,7,control de la atención; flexibilidad cognitiva; inhibición; memoria de trabajo; organización; planificación; resolución de problemas,efeco_new1,EFECO,Escala EFECO para Valorar Funciones Ejecutivas,Eje V,Funciones ejecutivas cotidianas (autoinforme),Rendimiento neurocognitivo / Tarea de ejecución,abierto
Identidad y valores,Eje II; Eje III,8,autoconcepto; autoestima; identidad de género; identidad personal; identidad social; valores morales; valores éticos,sccs_87,SCCS,Escala de Claridad del Autoconcepto,Eje III,Claridad del self,Autoinforme,abierto
Identidad y valores,Eje II; Eje III,8,autoconcepto; autoestima; identidad de género; identidad personal; identidad social; valores morales; valores éticos,eom-eis-2_88,EOM-EIS-2,Medida Objetiva Extendida del Estatus de Identidad del Ego,Eje III,Identidad personal,Autoinforme,abierto
Identidad y valores,Eje II; Eje III,8,autoconcepto; autoestima; identidad de género; identidad personal; identidad social; valores morales; valores éticos,pvq_89,PVQ,Cuestionario de Valores de Retrato,Eje III,Valores personales,Autoinforme,abierto
Identidad y valores,Eje II; Eje III,8,autoconcepto; autoestima; identidad de género; identidad personal; identidad social; valores morales; valores éticos,imi_91,IMI,Inventario de Motivación Intrínseca,Eje III,Motivación y Orientación a metas,Autoinforme,abierto
Identidad y valores,Eje II; Eje III,8,autoconcepto; autoestima; identidad de género; identidad personal; identidad social; valores morales; valores éticos,agq-r_92,AGQ-R,Cuestionario de Metas de Logro Revisado,Eje III,Motivación y Orientación a metas,Autoinforme,abierto
Identidad y valores,Eje II; Eje III,8,autoconcepto; autoestima; identidad de género; identidad personal; identidad social; valores morales; valores éticos,meim_95,MEIM,Multigroup Ethnic Identity Measure (Medida Multigrupo de Identidad Étnica),Eje III,Identidad étnica (Exploración y Compromiso/Pertenencia),Autoinforme,abierto
Identidad y valores,Eje II; Eje III,8,autoconcepto; autoestima; identidad de género; identidad personal; identidad social; valores morales; valores éticos,via_96,VIA,Índice de Aculturación de Vancouver,Eje III,Identidad cultural y Aculturación,Autoinforme,abierto
Identidad y valores,Eje II; Eje III,8,autoconcepto; autoestima; identidad de género; identidad personal; identidad social; valores morales; valores éticos,vq_165,VQ,Valuing Questionnaire,Eje II,Vida valiosa (Progreso vs Obstruccion) segun valores personales,Autoinforme,academico
Impulsividad y conducta disruptiva,Eje I; Eje II,9,TDAH; conducta agresiva; conducta antisocial; conducta disruptiva; conducta inadecuada; impulsividad; trastorno de déficit de atención e hiperactividad,bis-11_26,BIS-11,Escala de Impulsividad de Barratt,Eje I,Impulsividad,Autoinforme,abierto
Impulsividad y conducta disruptiva,Eje I; Eje II,9,TDAH; conducta agresiva; conducta antisocial; conducta disruptiva; conducta inadecuada; impulsividad; trastorno de déficit de atención e hiperactividad,upps-p_27,UPPS-P,Escala de Comportamiento Impulsivo UPPS-P,Eje I,Impulsividad,Autoinforme,abierto
Impulsividad y conducta disruptiva,Eje I; Eje II,9,TDAH; conducta agresiva; conducta antisocial; conducta disruptiva; conducta inadecuada; impulsividad; trastorno de déficit de atención e hiperactividad,dii_28,DII,Inventario de Impulsividad de Dickman,Eje I,Impulsividad,Autoinforme,abierto
Impulsividad y conducta disruptiva,Eje I; Eje II,9,TDAH; conducta agresiva; conducta antisocial; conducta disruptiva; conducta inadecuada; impulsividad; trastorno de déficit de atención e hiperactividad,cbcl_35,CBCL,Inventario de Comportamiento Infantil (Subescalas Externalizantes),Eje I,Conducta disruptiva,Autoinforme,comercial
Impulsividad y conducta disruptiva,Eje I; Eje II,9,TDAH; conducta agresiva; conducta antisocial; conducta disruptiva; conducta inadecuada; impulsividad; trastorno de déficit de atención e hiperactividad,sdq_36,SDQ,Cuestionario de Capacidades y Dificultades,Eje I,Conducta disruptiva,Autoinforme,abierto
Impulsividad y conducta disruptiva,Eje I; Eje II,9,TDAH; conducta agresiva; conducta antisocial; conducta disruptiva; conducta inadecuada; impulsividad; trastorno de déficit de atención e hiperactividad,dbd_37,DBD,Escala de Trastornos de Comportamiento Perturbador,Eje I,Conducta disruptiva,Autoinforme,abierto
Impulsividad y conducta disruptiva,Eje I; Eje II,9,TDAH; conducta agresiva; conducta antisocial; conducta disruptiva; conducta inadecuada; impulsividad; trastorno de déficit de atención e hiperactividad,bis_68,BIS/BAS,Escalas del Sistema de Inhibición y Aproximación Conductual,Eje II,Búsqueda de recompensa,Autoinforme,abierto
Impulsividad y conducta disruptiva,Eje I; Eje II,9,TDAH; conducta agresiva; conducta antisocial; conducta disruptiva; conducta inadecuada; impulsividad; trastorno de déficit de atención e hiperactividad,cubi18_150,CUBI-18,"Cuestionario de Urgencia, Busqueda de Sensaciones e Impulsividad-18",Eje I,"Impulsividad (urgencia compulsiva, busqueda de sensaciones, imprevision)",Autoinforme,academico
Impulsividad y conducta disruptiva,Eje I; Eje II,9,TDAH; conducta agresiva; conducta antisocial; conducta disruptiva; conducta inadecuada; impulsividad; trastorno de déficit de atención e hiperactividad,eiplutchik_187,EI-Plutchik,Escala de Impulsividad de Plutchik,Eje I,Impulsividad,Autoinforme,academico
Inteligencia emocional autopercibida,Eje II,1,Escala de Inteligencia Emocional de Schutte (SSEIT); SSEIT,sseit_new,SSEIT,Escala de Inteligencia Emocional de Schutte (SSEIT),Eje II,Inteligencia emocional autopercibida,Autoinforme,abierto
Lenguaje y comunicación verbal,Eje V,2,afasia; denominación; expresión verbal; fluidez verbal,bnt_130,BNT,Test de Denominación de Boston,Eje V,"Comprensión, Expresión y Fluidez Verbal",Rendimiento neurocognitivo / Tarea de ejecución,comercial
Lenguaje y comunicación verbal,Eje V,2,afasia; denominación; expresión verbal; fluidez verbal,tfv_131,TFV,Test de Fluidez Verbal (FAS y Animales),Eje V,"Comprensión, Expresión y Fluidez Verbal",Rendimiento neurocognitivo / Tarea de ejecución,abierto
Marcador somático de hiperlaxitud y pánico,Eje VI,1,Criterios de Laxitud Articular del Hospital del Mar (Bulbena); Laxitud-HdM,laxitud-hdm_new,Laxitud-HdM,Criterios de Laxitud Articular del Hospital del Mar (Bulbena),Eje VI,Marcador somático de hiperlaxitud y pánico,Autoinforme,abierto
Memoria y aprendizaje,Eje V,4,memoria de trabajo; memoria episódica; metamemoria; olvidos,tavec_123,TAVEC,Test de Aprendizaje Verbal de España-Complutense,Eje V,"Memoria (Trabajo, Episódica, Semántica, Visual, Aprendizaje)",Rendimiento neurocognitivo / Tarea de ejecución,comercial
Memoria y aprendizaje,Eje V,4,memoria de trabajo; memoria episódica; metamemoria; olvidos,figura_de_rey_124,Figura de Rey,Test de Copia de una Figura Compleja,Eje V,"Memoria (Trabajo, Episódica, Semántica, Visual, Aprendizaje)",Rendimiento neurocognitivo / Tarea de ejecución,abierto
Memoria y aprendizaje,Eje V,4,memoria de trabajo; memoria episódica; metamemoria; olvidos,mfe_new1,MFE,Cuestionario de Fallos de Memoria de la Vida Cotidiana,Eje V,Fallos de memoria cotidiana (metamemoria),Rendimiento neurocognitivo / Tarea de ejecución,abierto
Memoria y aprendizaje,Eje V,4,memoria de trabajo; memoria episódica; metamemoria; olvidos,cfq_new1,CFQ-Fallos,Cognitive Failures Questionnaire (Cuestionario de Fallos Cognitivos),Eje V,Fallos cognitivos cotidianos,Autoinforme,abierto
Obsesiones y compulsiones,Eje I,5,TOC; comprobación; contaminación; dudas obsesivas; rituales,y-bocs_18,Y-BOCS,Escala de Obsesiones y Compulsiones de Yale-Brown,Eje I,Obsesiones y compulsiones,Heteroaplicado / Entrevista clínica,abierto
Obsesiones y compulsiones,Eje I,5,TOC; comprobación; contaminación; dudas obsesivas; rituales,oci-r_19,OCI-R,Inventario Obsesivo-Compulsivo Revisado,Eje I,Obsesiones y compulsiones,Autoinforme,abierto
Obsesiones y compulsiones,Eje I,5,TOC; comprobación; contaminación; dudas obsesivas; rituales,pi-wsur_20,PI-WSUR,Inventario de Padua Revisado - WSU,Eje I,Obsesiones y compulsiones,Autoinforme,comercial
Obsesiones y compulsiones,Eje I,5,TOC; comprobación; contaminación; dudas obsesivas; rituales,docs_21,DOCS,Escala Dimensional Obsesivo-Compulsiva,Eje I,Obsesiones y compulsiones,Autoinforme,abierto
Obsesiones y compulsiones,Eje I,5,TOC; comprobación; contaminación; dudas obsesivas; rituales,ip_148,IP,Inventario de Padua (Padua Inventory),Eje I,"Sintomatologia obsesivo-compulsiva (perdida de control mental, contaminacion, comprobacion, impulsos)",Autoinforme,academico
Personalidad patológica,Eje I; Eje III,6,TLP; desapego; narcisismo; psicopatía; tríada oscura,pid-5_80,PID-5,Inventario de Personalidad para el DSM-5,Eje III,"Rasgos Patológicos de Personalidad (Afectividad Negativa, Desapego, Antagonismo, Desinhibición, Psicoticismo)",Autoinforme,abierto
Personalidad patológica,Eje I; Eje III,6,TLP; desapego; narcisismo; psicopatía; tríada oscura,sd3_81,SD3,La Tríada Oscura Corta,Eje III,Personalidad Oscura y Luminosa (Tríadas y Tétradas),Autoinforme,abierto
Personalidad patológica,Eje I; Eje III,6,TLP; desapego; narcisismo; psicopatía; tríada oscura,sd4_82,SD4,La Tétrada Oscura Corta,Eje III,Personalidad Oscura y Luminosa (Tríadas y Tétradas),Autoinforme,abierto
Personalidad patológica,Eje I; Eje III,6,TLP; desapego; narcisismo; psicopatía; tríada oscura,lts_83,LTS,Escala de la Tríada Luminosa,Eje III,Personalidad Oscura y Luminosa (Tríadas y Tétradas),Autoinforme,abierto
Personalidad patológica,Eje I; Eje III,6,TLP; desapego; narcisismo; psicopatía; tríada oscura,bsl23_149,BSL-23,Borderline Symptom List-23,Eje I,"Sintomatologia limite (TLP): afecto negativo, autoimagen, autodestruccion, impulsividad, disociacion",Autoinforme,academico
Personalidad patológica,Eje I; Eje III,6,TLP; desapego; narcisismo; psicopatía; tríada oscura,npi-n_218,NPI-N,Narcissistic Personality Inventory,Eje III,Rasgos de personalidad narcisista,Autoinforme,academico
Psicosis y curso pronóstico,Eje I,1,Escala Pronóstica para la Esquizofrenia de Strauss y Carpenter; SCPS,scps_new,SCPS,Escala Pronóstica para la Esquizofrenia de Strauss y Carpenter,Eje I,Psicosis y curso pronóstico,Heteroaplicado / Entrevista clínica,abierto
Psicosis y experiencias delirantes,Eje I,8,alucinación; delirio; esquizofrenia; síntomas positivos,pdi-21_43,PDI-21,Inventario de Delirios de Peters,Eje I,Ideación delirante,Autoinforme,abierto
Psicosis y experiencias delirantes,Eje I,8,alucinación; delirio; esquizofrenia; síntomas positivos,cape-42_44,CAPE-42,Evaluación Comunitaria de Experiencias Psíquicas,Eje I,Experiencias perceptivas inusuales,Autoinforme,abierto
Psicosis y experiencias delirantes,Eje I,8,alucinación; delirio; esquizofrenia; síntomas positivos,panss_45,PANSS,Escala de los Síndromes Positivo y Negativo,Eje I,Desorganización cognitiva y conductual,Heteroaplicado / Entrevista clínica,comercial
Psicosis y experiencias delirantes,Eje I,8,alucinación; delirio; esquizofrenia; síntomas positivos,bprs_173,BPRS,Brief Psychiatric Rating Scale,Eje I,Psicopatología general (heteroaplicada),Heteroaplicado / Entrevista clínica,academico
Psicosis y experiencias delirantes,Eje I,8,alucinación; delirio; esquizofrenia; síntomas positivos,sips_174,SIPS,Entrevista Estructurada para Síndromes Prodrómicos,Eje I,Riesgo de psicosis,Heteroaplicado / Entrevista clínica,academico
Psicosis y experiencias delirantes,Eje I,8,alucinación; delirio; esquizofrenia; síntomas positivos,sops_175,SOPS,Scale of Prodromal Syndromes,Eje I,Síntomas prodrómicos de psicosis,Heteroaplicado / Entrevista clínica,academico
Psicosis y experiencias delirantes,Eje I,8,alucinación; delirio; esquizofrenia; síntomas positivos,sumd_176,SUMD,Scale to Assess Unawareness of Mental Disorder,Eje I,Insight/conciencia de enfermedad,Heteroaplicado / Entrevista clínica,academico
Psicosis y experiencias delirantes,Eje I,8,alucinación; delirio; esquizofrenia; síntomas positivos,dai_193,DAI,¡OJO! Archivo etiquetado DAI contiene la PANSS completa,Eje I,Psicopatología general (positiva/negativa),Autoinforme,academico
Pánico y agorafobia,Eje I,1,Escala de Pánico y Agorafobia de Bandelow (PAS); PAS,pas_new,PAS,Escala de Pánico y Agorafobia de Bandelow (PAS),Eje I,Pánico y agorafobia,Heteroaplicado / Entrevista clínica,abierto
Quejas cognitivas subjetivas cotidianas,Eje V,1,CFSS; Escala de Autoevaluación del Funcionamiento Cognitivo (CFSS),cfss_new,CFSS,Escala de Autoevaluación del Funcionamiento Cognitivo (CFSS),Eje V,Quejas cognitivas subjetivas cotidianas,Rendimiento neurocognitivo / Tarea de ejecución,abierto
Rasgo disposicional de personalidad,Eje III,1,Escala de Búsqueda de Sensaciones de Zuckerman (Forma V); SSS-V,sss-v_new,SSS-V,Escala de Búsqueda de Sensaciones de Zuckerman (Forma V),Eje III,Rasgo disposicional de personalidad,Autoinforme,abierto
Rasgos de personalidad,Eje II; Eje III,5,personalidad; personalidad antisocial; personalidad borderline; rasgos de personalidad; trastorno de personalidad,neo-pi-r_76,NEO-PI-R,Inventario de Personalidad NEO Revisado,Eje III,"Rasgos de Personalidad (Neuroticismo, Extraversión, Apertura, Amabilidad, Responsabilidad)",Autoinforme,comercial
Rasgos de personalidad,Eje II; Eje III,5,personalidad; personalidad antisocial; personalidad borderline; rasgos de personalidad; trastorno de personalidad,bfi-2_77,BFI-2,Inventario de los Cinco Grandes 2,Eje III,"Rasgos de Personalidad (Neuroticismo, Extraversión, Apertura, Amabilidad, Responsabilidad)",Autoinforme,abierto
Rasgos de personalidad,Eje II; Eje III,5,personalidad; personalidad antisocial; personalidad borderline; rasgos de personalidad; trastorno de personalidad,hexaco-pi-r_78,HEXACO-PI-R,Inventario de Personalidad HEXACO Revisado,Eje III,"Rasgos de Personalidad (Neuroticismo, Extraversión, Apertura, Amabilidad, Responsabilidad)",Autoinforme,abierto
